PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Goble, AT				Goble, AT			The four vector problem and its application to energies and intensities in platinum-like spectra	PHYSICAL REVIEW			English	Article									Univ Wisconsin, Madison, WI USA							BARTLETT, 1930, PHYS REV, V35, P229; Breit, 1933, PHYS REV, V44, P470; BRINKMAN, 1932, Z PHYS, V79, P753; CONDON, 1930, PHYS REV, V35, P1342; CONDON, 1931, PHYS REV, V37, P1025; HARRISON, 1931, PHYS REV, V38, P757; HOUSTON, 1929, PHYS REV, V33, P297; INGLIS, 1931, PHYS REV, V38, P868; JOHNSON, 1931, PHYS REV, V38, P1628; JOHNSON, 1933, PHYS REV, V43, P632; JORDAHL, 1934, PHYS REV, V45, P87; KRONIG, 1925, Z PHYS, V31, P885; KRONIG, 1925, Z PHYS, V33, P261; LAPORTE, 1930, PHYS REV, V35, P1337; MACK, PHYS REV; MARVIN, 1933, PHYS REV, V44, P818; PAULING, STRUCTURE LINE SPECT, P97; SHORTLEY, 1932, PHYS REV, V40, P185; SHORTLEY, 1933, PHYS REV, V43, P451; SHORTLEY, 1935, PHYS REV, V47, P295; SHORTLEY, 1933, PHYS REV, V44, P666; Slater, 1929, PHYS REV, V34, P1293; Slater JC, 1929, PHYS REV, V34, P1293, DOI 10.1103/PhysRev.34.1293; WINGNER, GRUPPERNTHEORIE, P298	24	9	9	AMER INST PHYSICS	MELVILLE	CIRCULATION & FULFILLMENT DIV, 2 HUNTINGTON QUADRANGLE, STE 1 N O 1, MELVILLE, NY 11747-4501 USA	0031-899X			PHYS REV	Phys. Rev.	AUG	1935	48	4					346	356		10.1103/PhysRev.48.346		11	Physics, Multidisciplinary	Physics	V22HQ	WOS:000201507000008		
J	GREGORY, C				GREGORY, C			GENERAL OPERATOR FIELD EQUATIONS DERIVED FROM A VARIATION PRINCIPLE - CONSTRUCTION OF DIVERGENCE-LESS 4-VECTOR OPERATOR	PHYSICAL REVIEW			English	Letter																GREGORY C, 1950, PHYS REV, V78, P67, DOI 10.1103/PhysRev.78.67.4	1	4	4	AMERICAN PHYSICAL SOC	COLLEGE PK	ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA	0031-899X			PHYS REV			1950	78	4					479	479		10.1103/PhysRev.78.479		1	Physics, Multidisciplinary	Physics	UB337	WOS:A1950UB33700035		
J	ZMUIDZIN.JS				ZMUIDZIN.JS			UNITARY REPRESENTATIONS OF LORENTZ GROUP ON 4-VECTOR MANIFOLDS	JOURNAL OF MATHEMATICAL PHYSICS			English	Article																BACHMAN G, 1964, ELEMENTS ABSTRACT HA; Bargmann V, 1936, Z PHYS, V99, P576, DOI 10.1007/BF01338811; Biedenharn L C, 1965, COULOMB EXCITATION; BIEDENHARN LC, 1965, J MATH PHYS, V6, P433; CHOU KC, 1959, SOVIET PHYSICS JEPT, V35, P990; DEWITT C, 1960, RELATIONS DISPERS ED, P62; DIRAC PAM, 1945, P ROY SOC LONDON, VA183, P284; Dolginov A.Z., 1959, Zhurnal Eksperimental'noi i Teoreticheskoi Fiziki, V37; Dolginov A.Z., 1959, Zhurnal Eksperimental'noi i Teoreticheskoi Fiziki, V37; DOLGINOV AZ, 1960, SOV PHYS JETP-USSR, V10, P1202; DOLGINOV AZ, 1960, SOV PHYS JETP-USSR, V10, P1022; ERDELYI A, 1953, HIGH TRANSCENDENTAL, V1, P120; ERDELYI A, 1953, HIGHER TRANSCENDENTA, V2, P244; ERDELYI A, 1953, HIGH TRANSCENDENTAL, V2, P183; Fock V, 1935, Z PHYS, V98, P145, DOI 10.1007/BF01336904; Gel'fand I. M., 1964, GENERALIZED FUNCTION, V1; Gel'fand I.M., 1963, REPRESENTATIONS ROTA; Gelfand I.M., 1948, Journal of Experimental and Theoretical Physics, V18; Gelf I., 1946, Journal of Physics, V10; GINZBURG VL, 1947, JETP, V17, P227; GOLDBERGER ML, 1960, RELATIONS DISPERSION, P62; HARISHCHANDRA, 1947, PROC R SOC LON SER-A, V189, P372; Joos H., 1962, Fortschritte der Physik, V10; Lifshitz E.J., 1946, Journal of Physics, V10; MAGNUS W, 1954, FORMULAS THEOREMS FU, P26; MAGNUS W, 1954, FORMULAS THEOREMS FU, P33; MAGNUS W, 1954, FORMULAS THEOREMS FU, P66; NAIMARK MA, AM MATH SOC TRANSL 2, V36, P101; Naimark M.A., 1964, LINEAR REPRESENTATIO; POPOV VS, 1964, SOV PHYS JETP-USSR, V19, P1232; POPOV VS, 1960, SOVIET PHYSICS JETP, V37, P794; ROSE ME, 1957, ELEMENTARY THEORY AN; SALPETER EE, 1951, PHYS REV, V84, P1232, DOI 10.1103/PhysRev.84.1232; Shapiro I.S., 1956, SOV PHYS DOKL, V1, P91; SHAPIRO IS, 1962, PHYS LETT, V1, P253, DOI 10.1016/0031-9163(62)91370-7; VILENKIN NY, 1964, SOV PHYS JETP-USSR, V19, P1209; TITCHMARSH EC, 1962, EIGENFUNCTION EXPA I; TITCHMARSH EC, 1948, INTRODUCTION THEORY; van der Waerden B. L., 1932, GRUPPENTHEORETISCHE; WICK GC, 1954, PHYS REV, V96, P1124, DOI 10.1103/PhysRev.96.1124; Wigner E, 1939, ANN MATH, V40, P149, DOI 10.2307/1968551	41	15	15	AMER INST PHYSICS	WOODBURY	CIRCULATION FULFILLMENT DIV, 500 SUNNYSIDE BLVD, WOODBURY, NY 11797-2999	0022-2488			J MATH PHYS	J. Math. Phys.		1966	7	4					764	&		10.1063/1.1704991		0	Physics, Mathematical	Physics	76373	WOS:A19667637300022		
J	HOLMES, JR; ALPS, BJ				HOLMES, JR; ALPS, BJ			STUDIES INTO EQUINE ELECTROCARDIOGRAPHY AND VECTORCARDIOGRAPHY .4. VECTOR DISTRIBUTIONS IN SOME ARRHYTHMIAS	CANADIAN JOURNAL OF COMPARATIVE MEDICINE			English	Article																BARKER JM, 1952, UNIPOLAR ELECTROCARD; BROOIJMANS AWM, 1957, ELECTROCARDIOGRAPHY; FRIEDMAN HH, 1963, OUTLINE ELECTROCARDI; GOLDMAN MJ, 1964, PRINCIPLES CLINICAL; GRANT RP, 1956, CIRCULATION, V14, P233; HOLMES J. R., 1966, CAN VETERINARY J, V7, P280; HOLMES JR, 1967, CAN J COMPARAT MED, V31, P207; HOLMES JR, 1967, CAN J COMPARAT MED, V31, P92; HOLMES JR, 1967, CAN J COMPARAT MED, V31, P150; KATZ LN, 1949, ELECTROCARDIOGRAPHY; LANNEK N., 1951, Nordisk Veterinaermedicin, V3, P425; LEWIS T, 1949, ELECTROCARDIOGRAPHY; OBEL N, 1942, SKANDINAVISK VETERIN, V32, P324; Rushmer RF, 1961, CARDIOVASCULAR DYNAM; SCHAEFER H, 1951, ELEKTROKARDIOGRAM TH; VANARSDEL WC, 1963, AM J VET RES, V24, P956; VANARSDEL WC, 1959, 51 OR AGR EXP STA  B; WOOD P, 1950, DISEASES HEART CIRCU	18	2	2	CANADIAN VET MED ASSOC	OTTAWA	339 BOOTH ST ATTN: KIMBERLY ALLEN-MCGILL, OTTAWA ON K1R 7K1, CANADA				CAN J COMPARAT MED			1967	31	9					219	&				0	Medicine, General & Internal; Veterinary Sciences	General & Internal Medicine; Veterinary Sciences	98781	WOS:A19679878100003	4227915	
J	BUTLER, JW				BUTLER, JW			A PROPOSED ELECTROMAGNETIC MOMENTUM-ENERGY 4-VECTOR FOR CHARGED BODIES	AMERICAN JOURNAL OF PHYSICS			English	Article																BECKER R, 1964, ELECTROMAGNETIC THEO, V1, P218; BECKER R, 1964, ELECTROMAGNETIC THEO, V1, P352; BECKER R, 1964, ELECTROMAGNETIC FIEL, V1, P274; BECKER R, 1964, ELECTROMAGNETIC THEO, V1, P394; BUTLER JW, 1967, REP NRL PROG, P1; BUTLER JW, 1968, AM J PHYS, V36, P936, DOI 10.1119/1.1974358; Dirac PAM, 1938, PROC R SOC LON SER-A, V167, P0148, DOI 10.1098/rspa.1938.0124; DURNFORD AM, 1969, P PHYS SOC LONDON  A, V2, P59; Einstein A, 1905, ANN PHYS-BERLIN, V17, P891; EVANS RD, 1955, ATOMIC NUCLEUS, P36; Fermi E., 1922, Atti della Reale Accademia Nazionale dei Lincei, V31; Fermi E, 1922, ATTI ACCAD NAZ SFMN, V31, P306; Fermi E., 1923, Nuovo Cimento, V25, DOI 10.1007/BF02959592; Fermi E, 1922, PHYS Z, V23, P340; Feynman R. P., 1992, FEYNMAN LECT PHYS, V2, P28; HEAVISIDE O, 1885, ELECTRICIAN, V14, P220; JACKSON JD, 1962, CLASSICAL ELECTRODYN, P590; JACKSON JD, 1962, CLASSICAL ELECTRODYN, P594; JACKSON JD, 1962, CLASSICAL ELECTRODYN, P597; Jackson J.D., 1962, CLASSICAL ELECTRODYN, P385; JACKSON JV, 1962, CHROMATOGRAPHIC ELEC, P379; KWAL B, 1949, J PHYS-PARIS, V10, P103, DOI 10.1051/jphysrad:01949001003010301; Laue M, 1911, ANN PHYS-BERLIN, V35, P524; Lorentz HA, 1904, P K AKAD WET-AMSTERD, V6, P809; Mandel H, 1926, Z PHYS, V39, P40, DOI 10.1007/BF01321899; PANOFSKY WKH, 1962, CLASSICAL ELECT MAGN, P95; PANOFSKY WKH, 1962, CLASSICAL ELECTRICIT, P383; PANOFSKY WKH, 1962, CLASSICAL ELECT MAGN, P377; PANOFSKY WKH, 1962, CLASSICAL ELECTRICIT, P378; PANOFSKY WKH, 1962, CLASSICAL ELECT MAGN, P180; PANOFSKY WKH, 1962, CLASSICAL ELECTRICIT, P392; PANOFSKY WKH, 1962, CLASSICAL ELECTRICIT, P385; PANOFSKY WKH, 1955, CLASSICAL ELECTRICIT, P349; PANOFSKY WKH, 1962, CLASSICAL ELECTRICIT, P179; PAULI W, 1958, THEORY RELATIVITY, P186; PAULI W, 1958, THEORY RELATIVITY, P130; PAULI W, 1958, THEORY RELATIVITY, P129; PAULI W, 1958, THEORY RELATIVITY, P185; Poincare H, 1905, CR HEBD ACAD SCI, V140, P1504; Poincare H., 1906, RENDICONTI CIRCOLO M, V21, P129; Poynting JH, 1884, PHILOS T ROY SOC LON, P343, DOI DOI 10.1098/RSTL.1884.0016; Pryce MHL, 1938, PROC R SOC LON SER-A, V168, P389, DOI 10.1098/rspa.1938.0179; Rohrlich F., 1960, American Journal of Physics, V28, DOI 10.1119/1.1935924; Searle G.F.C., 1897, PHILOS MAG, V44, P329; SHERWIN CW, 1960, B AM PHYS SOC, V5, P244; STRATTON JA, 1941, ELECTROMAGNETIC THEO, P134; THOMSON J J., 1881, PHILOS MAG, V11, P229; Thomson J. J., 1897, PHILOS MAG, V44, P293; Trouton F. T., 1903, PHILOS T R SOC LON A, V202, P165; TROUTON FT, 1902, SCI T R DUBLIN SOC, V7, P379; Wilson W, 1936, P PHYS SOC, V48, P736, DOI 10.1088/0959-5309/48/5/306	51	19	19	AMER INST PHYSICS	WOODBURY	CIRCULATION FULFILLMENT DIV, 500 SUNNYSIDE BLVD, WOODBURY, NY 11797-2999	0002-9505			AM J PHYS	Am. J. Phys.		1969	37	12					1258	&		10.1119/1.1975297		0	Education, Scientific Disciplines; Physics, Multidisciplinary	Education & Educational Research; Physics	F1647	WOS:A1969F164700014		
J	JELSMA, LF; TWEED, ED; PHILLIPS, RL; TAYLOR, RW				JELSMA, LF; TWEED, ED; PHILLIPS, RL; TAYLOR, RW			BOUNDARY CONDITIONS FOR 4 VECTOR POTENTIAL	IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES			English	Letter																HESTENES D, PRIVATE COMMUNICATIO; LANDAU, 1951, CLASSICAL THEORY FIE, P59; MORSE, 1953, METHODS THEORETICA 1, P807; MORSE, 1953, METHODS THEORETICA 2, P1771; WEXLER A, 1969, I ELECTRICAL ELECTRO, VMT17, P416	5	3	3	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017-2394	0018-9480			IEEE T MICROW THEORY	IEEE Trans. Microw. Theory Tech.		1970	MT18	9					648	&		10.1109/TMTT.1970.1127304		0	Engineering, Electrical & Electronic	Engineering	H5443	WOS:A1970H544300022		
J	SCHULTZP.W				SCHULTZP.W			COURSES OF PERFECTING IN MATHEMATICS .4. VECTOR DIFFERENTIAL OPERATIONS IN CONNECTION WITH EQUATIONS OF BALANCE OF CHEMICAL PROCESS ENGINEERING .2. IMPORTANT SCALAR PRODUCTS - IMPULSE EQUATION	CHEMISCHE TECHNIK			German	Article									INGN HSCH KOTHEN,ABT MATH,KOTHEN,EAST GERMANY								0	1	1	DEUTSCHER VERLAG FUR GRUNDSTOFFINDUSTRIE	LEIPZIG	KARL HEINE STR 27B, 04229 LEIPZIG, GERMANY	0045-6519			CHEM TECH-LEIPZIG	Chem. Tech.		1973	25	9					557	559				3	Engineering, Chemical	Engineering	Q5229	WOS:A1973Q522900015		
J	Kustanovich, IM; Morozov, VA				Kustanovich, I. M.; Morozov, V. A.			NONLINEAR VECTOR FIELD HAVING AN EXACT PARTICLE-LIKE SOLUTION WITH FINITE ENERGY AND PHASE WAVE	THEORETICAL AND MATHEMATICAL PHYSICS			English	Article								A model relativistically invariant Lagrangian corresponding to a nonlinear wave equation (with three arbitrary constants m(1), m(2), and m(3)) for a complex four-vector field and exact particle-like solutions to this equation are given. The energy, momentum, "charge," and spin of the corresponding "particles" are calculated as functions of m(1), m(2), m(3). The values of m(1), m(2), m(3) at which the particle parameters agree with the corresponding parameters of the rho mesons are given. For these values of m(1), m(2), and m(3), the nonlinearity of the field is effectively manifested only within the limits of a particle.								Bogolyubov N. N., 1959, INTRO THEORY QUANTIZ; Born M, 1934, P R SOC LOND A-CONTA, V144, P0425, DOI 10.1098/rspa.1934.0059; DERRICK GH, 1968, J MATH PHYS, V9, P232, DOI 10.1063/1.1664573; Feld B., 1971, MODELS ELEMENTARY PA; Mie G, 1912, ANN PHYS-BERLIN, V39, P1; MURASKIN M, 1970, ANN PHYS-NEW YORK, V59, P27, DOI 10.1016/0003-4916(70)90393-3; Muraskin M., 1971, INT J THEOR PHYS, V4, P49, DOI 10.1007/BF00671381; ROSEN G, 1965, J MATH PHYS, V6, P1269, DOI 10.1063/1.1704769; ROSEN G, 1966, J MATH PHYS, V7, P2066, DOI 10.1063/1.1704890	9	0	0	MAIK NAUKA/INTERPERIODICA/SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013-1578 USA	0040-5779	1573-9333		THEOR MATH PHYS+	Theor. Math. Phys.	AUG	1973	16	2					830	833		10.1007/BF01037136		4	Physics, Multidisciplinary; Physics, Mathematical	Physics	V32QR	WOS:000208966200013		
J	GOULD, DJ; EDELMAN, R; GROSSMAN, RA; NISALAK, A; SULLIVAN, MF				GOULD, DJ; EDELMAN, R; GROSSMAN, RA; NISALAK, A; SULLIVAN, MF			STUDY OF JAPANESE ENCEPHALITIS-VIRUS IN CHIANGMAI VALLEY, THAILAND .4. VECTOR STUDIES	AMERICAN JOURNAL OF EPIDEMIOLOGY			English	Article									SE ASIA TREATY ORG,DEPT MED ENTOMOL,MED PROJECT,APO,SAN FRANCISCO,CA 96346							BRAM RA, 1967, CONTR AM ENT I, V2, P202; BUESCHER EL, 1959, AM J TROP MED HYG, V8, P651; CAREY DE, 1968, INDIAN J MED RES, V56, P1340; DAVIS EW, 1973, MOSQ NEWS, V33, P246; DETELS R, 1970, AM J TROP MED HYG, V19, P716; GOULD DE, IN PRESS; GOULD DOUGLAS J., 1962, TRANS ROY SOC TROP MED AND HYG, V56, P429, DOI 10.1016/0035-9203(62)90018-4; GRESSER I, 1958, AM J TROP MED HYG, V7, P365; GROSSMAN RA, 1973, AM J EPIDEMIOL, V98, P121; GROSSMAN RA, 1973, AM J EPIDEMIOL, V98, P111; GROSSMAN RA, 1973, AM J EPIDEMIOL, V98, P133; HURLBUT HERBERT S., 1964, J MED ENTOMOL, V1, P78; JOHNSEN DO, 1974, AM J EPIDEMIOL, V100, P57; KUCHLER AW, 1967, T KANSAS ACAD SCI, V70, P281, DOI 10.2307/3627480; MUANGMAN D, 1972, AM J TROP MED HYG, V21, P482; RUSSELL PK, 1967, J IMMUNOL, V99, P291; *SE ASIA TREAT ORG, 1970, 1970 ANN REP; *SE ASIA TREAT ORG, 1968 ANN REP; *SE ASIA TREAT ORG, 1966 ANN REP; Simasthien P., 1972, Southeast Asian J Trop Med Pub Hlth, V3, P52; SIMPSON DIH, 1970, ANN TROP MED PARASIT, V64, P137; SULLIVAN MF, 1971, J MED ENTOMOL, V8, P713; TEMPELIS CH, 1962, AM J TROP MED HYG, V11, P294; TRAUB R, 1961, 9 P PAC SCIENC C BAN, V9, P46; WANG SP, 1962, AM J TROP MED HYG, V11, P141; YAMADA T, 1971, BIKEN J, V14, P267; YUILL TM, 1968, AM J TROP MED HYG, V17, P441	27	50	51	JOHNS HOPKINS UNIV SCHOOL HYGIENE PUB HEALTH	BALTIMORE	111 MARKET PLACE, STE 840, BALTIMORE, MD 21202-6709	0002-9262			AM J EPIDEMIOL	Am. J. Epidemiol.		1974	100	1					49	56				8	Public, Environmental & Occupational Health	Public, Environmental & Occupational Health	T7589	WOS:A1974T758900007	4842558	
J	WEINHOLD, F				WEINHOLD, F			METRIC GEOMETRY OF EQUILIBRIUM THERMODYNAMICS .4. VECTOR-ALGEBRAIC EVALUATION OF THERMODYNAMIC DERIVATIVES	JOURNAL OF CHEMICAL PHYSICS			English	Article									STANFORD UNIV,DEPT CHEM,STANFORD,CA 94305							BENT HA, 1953, J CHEM PHYS, V21, P1408, DOI 10.1063/1.1699245; BRIDGMAN PW, 1925, CONDENSED COLLECTION; Bridgman PW, 1914, PHYS REV, V3, P273, DOI 10.1103/PhysRev.3.273; CARROLL B, 1947, J CHEM PHYS, V24, P389; Carroll C.W., 1959, American Journal of Physics, V27, DOI 10.1119/1.1934840; CRAWFORD FH, 1949, AM J PHYS, V17, P1, DOI 10.1119/1.1989489; Crawford F.H., 1950, Proceedings of the American Academy of Arts and Sciences, V78, DOI 10.2307/20023573; CRAWFORD FH, 1955, P AM ACAD ARTS SCI, V83, P191; GLASSTONE S, 1947, THERMODYNAMICS CHEMI, P212; GORANSON RW, 1930, THERMODYNAMIC RELATI; GUGGENHEIM EA, 1949, THERMODYNAMICS, P74; Lerman F, 1937, J CHEM PHYS, V5, P792, DOI 10.1063/1.1749941; LEWIS GN, 1961, THERMODYNAMICS, P666; LEWIS GN, 1923, THERMODYNAMICS, P163; MANNING FS, 1960, J CHEM PHYS, V33, P1554, DOI 10.1063/1.1731441; MARGENAU H, 1943, MATHEMATICS PHYSICS, P15; MUNSTER A, 1970, CLASSICAL THERMODYNA, P97; Shaw A.N., 1935, Philosophical Transactions of the Royal Society of London. Series A (Mathematical and Physical Sciences), V234, DOI 10.1098/rsta.1935.0009; SLATER JC, 1939, INTRO CHEMICAL PHYSI; THOMSEN JS, 1964, AM J PHYS, V32, P666, DOI 10.1119/1.1970933; TISZA L, 1966, GENERALIZED THERMODY, P70; Tobolsky A, 1942, J CHEM PHYS, V10, P644, DOI 10.1063/1.1723632; WEINHOLD F, 1975, J CHEM PHYS, V63, P2488, DOI 10.1063/1.431636; WEINHOLD F, 1975, J CHEM PHYS, V63, P2484, DOI 10.1063/1.431635; WEINHOLD F, 1975, J CHEM PHYS, V63, P2479, DOI 10.1063/1.431689	25	78	78	AMER INST PHYSICS	WOODBURY	CIRCULATION FULFILLMENT DIV, 500 SUNNYSIDE BLVD, WOODBURY, NY 11797-2999	0021-9606			J CHEM PHYS	J. Chem. Phys.		1975	63	6					2496	2501		10.1063/1.431637		6	Physics, Atomic, Molecular & Chemical	Physics	AQ261	WOS:A1975AQ26100030		
