PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	GING, JI				GING, JI			EQUATIONS OF MOTION AND COORDINATE COVARIANCE IN GENERAL RELATIVITY	AMERICAN JOURNAL OF PHYSICS			English	Article																BERGMANN P, 1942, INTRODUCTION THEORY, P187; EINSTEIN A, 1927, SITZ PREUSS AKAD WIS, V1; INFELD L, 1949, REV MOD PHYS, V21, P408, DOI 10.1103/RevModPhys.21.408	3	2	2	AMER INST PHYSICS	WOODBURY	CIRCULATION FULFILLMENT DIV, 500 SUNNYSIDE BLVD, WOODBURY, NY 11797-2999	0002-9505			AM J PHYS	Am. J. Phys.		1966	34	1					63	&		10.1119/1.1972756		0	Education, Scientific Disciplines; Physics, Multidisciplinary	Education & Educational Research; Physics	72040	WOS:A19667204000011		
J	KRAUSE, J				KRAUSE, J			EMBEDDING APPROACH TO A RESTRICTED COVARIANCE GROUP IN GENERAL RELATIVITY	NUOVO CIMENTO DELLA SOCIETA ITALIANA DI FISICA B-GENERAL PHYSICS RELATIVITY ASTRONOMY AND MATHEMATICAL PHYSICS AND METHODS			English	Article									UNIV CHILE,FAC CIENC,DEPT FIS,SANTIAGO,CHILE							DAVIS WR, 1966, NUOVO CIMENT B, V43, P200, DOI 10.1007/BF02712432; Einstein A, 1918, ANN PHYS-BERLIN, V55, P241; Eisenhart L.P., 1926, RIEMANNIAN GEOMETRY; FOCK V, 1957, REV MOD PHYS, V29, P325, DOI 10.1103/RevModPhys.29.325; FRIEDMAN A, 1961, J MATH MECH, V10, P625; FRONSDAL C, 1965, REV MOD PHYS, V37, P221, DOI 10.1103/RevModPhys.37.221; FRONSDAL C, 1959, NUOVO CIMENTO, V13, P987; FRONSDAL C, 1959, PHYS REV, V116, P778, DOI 10.1103/PhysRev.116.778; Hamermesh M., 1962, GROUP THEORY; JOSEPH DW, 1962, PHYS REV, V126, P319, DOI 10.1103/PhysRev.126.319; JOSEPH DW, 1965, REV MOD PHYS, V37, P225, DOI 10.1103/RevModPhys.37.225; Kasner E, 1921, AM J MATH, V43, P130, DOI 10.2307/2370246; Kretschmann E., 1917, ANN PHYSIK, V53, P575; NASH J, 1956, ANN MATH, V63, P20, DOI 10.2307/1969989; NEEMAN Y, 1965, REV MOD PHYS, V37, P227, DOI 10.1103/RevModPhys.37.227; NEEMAN Y, 1964, PARTICLE SYMMETRIES; PENROSE CR, 1966, ANALYSIS STRUCTURE S; ROSEN J, 1965, REV MOD PHYS, V37, P204, DOI 10.1103/RevModPhys.37.204; SCHUCKING EL, 1967, RELATIVITY THEORY AS, V1; 1965, REV MOD PHYS, V37, P201	20	3	3	EDITRICE COMPOSITORI BOLOGNA	BOLOGNA	VIA STALINGRADO 97/2, I-40128 BOLOGNA, ITALY	0369-3554			NUOVO CIMENTO B	Nouvo Cimento Soc. Ital. Fis. B-Gen. Phys. Relativ. Astron. Math. Phys. Methods		1973	B 18	2					302	310		10.1007/BF02904044		9	Physics, Multidisciplinary	Physics	R6753	WOS:A1973R675300010		
J	IONESCUPALLAS, N; GOTTLIEB, I				IONESCUPALLAS, N; GOTTLIEB, I			CONFORMAL COVARIANCE OF GENERAL-RELATIVITY	REVUE ROUMAINE DE PHYSIQUE			English	Article									UNIV AL I CUZA,DEPT THEORET PHYS,IASI,ROMANIA	IONESCUPALLAS, N (reprint author), CENT INST PHYS,POB 5206,BUCHAREST,ROMANIA.		Cuza, UAIC/D-2604-2009					0	0	0	EDITURA ACADEMIEI ROMANE	BUCHAREST	CALEA VICTORIEI 125, BUCHAREST 79717, ROMANIA	0035-4090			REV ROUM PHYS			1980	25	3					233	244				12	Physics, Multidisciplinary	Physics	JY308	WOS:A1980JY30800003		
J	CHOPARD, B; BOUVIER, P				CHOPARD, B; BOUVIER, P			SCALE COVARIANCE AND POST-NEWTONIAN APPROXIMATIONS WITHIN THE FRAMEWORK OF THE GENERAL-RELATIVITY THEORY	ARCHIVES DES SCIENCES			French	Article										CHOPARD, B (reprint author), UNIV GENEVA,DEPT PHYS THEOR,CH-1211 GENEVA 4,SWITZERLAND.							0	0	0	SOC PHYS HIST NATURELLE GENEVE	GENEVA 6	MUSEUM HIST NATURELLE 1 ROUTE DE MALAGNOU CASE POSTALE 6434, CH-1211 GENEVA 6, SWITZERLAND	0252-9289			ARCH SCI	Arch. Sci.		1982	35	3					251	263				13	Multidisciplinary Sciences	Science & Technology - Other Topics	QH850	WOS:A1982QH85000001		
J	HAVAS, P				HAVAS, P			SIMULTANEITY, CONVENTIALISM, GENERAL COVARIANCE, AND THE SPECIAL THEORY OF RELATIVITY	GENERAL RELATIVITY AND GRAVITATION			English	Article										HAVAS, P (reprint author), TEMPLE UNIV,DEPT PHYS,PHILADELPHIA,PA 19122, USA.						ANGEL RB, 1980, RELATIVITY THEORY IT; BUNGE M, 1967, F PHYSICS; BUNGE M, 1961, AM J PHYS, V29, P518, DOI 10.1119/1.1937824; DERITIS R, 1985, GEN RELAT GRAVIT, V17, P595; Einstein A., 1920, RELATIVITY SPECIAL G; Eisenhart L.P., 1926, RIEMANNIAN GEOMETRY; ELLIS B, 1967, PHILOS SCI, V34, P116, DOI 10.1086/288136; FOCK V, 1957, REV MOD PHYS, V29, P325, DOI 10.1103/RevModPhys.29.325; Fock V.A., 1959, THEORY SPACE TIME GR; FRANK P, 1946, F PHYSICS; FRIEDMAN M, 1983, F SPACE TIME THEORIE; GRUNBAUM A, 1969, PHILOS SCI, V36, P5, DOI 10.1086/288234; Grunbaum A., 1963, PHILOS PROBLEMS SPAC; GRUNBAUM A, 1977, SYNTHESE, V34, P281, DOI 10.1007/BF00485879; Grunbaum A., 1955, American Journal of Physics, V23; HAVAS P, 1964, REV MOD PHYS, V36, P938, DOI 10.1103/RevModPhys.36.938; HAVAS P, 1967, DELAWARE SEMINAR FOU, P124; HILBERT D, 1917, GOTT NACHR MP, V53; LAUE M, 1923, RELATIVITATSTHEORIE, V2; MALAMENT D, 1977, NOUS, V11, P293, DOI 10.2307/2214766; MITTELSTAEDT P, 1976, ZEITBEGRIFF PHYSIK; MITTELSTAEDT P, 1977, FOUND PHYS, V7, P573, DOI 10.1007/BF00708869; Moller C., 1952, THEORY RELATIVITY; Reichenbach H., 1969, AXIOMATIZATION THEOR; SALMON WC, 1969, PHILOS SCI, V36, P44, DOI 10.1086/288235; SCHOUTEN JA, 1918, VERH KON AKAD AMSTER, V12; Torretti R., 1983, RELATIVITY GEOMETRY; WEYSSENHOFF J, 1937, B ACAD POL A, V252; Yano K., 1955, THEORY LIE DERIVATIV	29	18	18	PLENUM PUBL CORP	NEW YORK	233 SPRING ST, NEW YORK, NY 10013	0001-7701			GEN RELAT GRAVIT	Gen. Relativ. Gravit.	MAY	1987	19	5					435	453		10.1007/BF00760649		19	Astronomy & Astrophysics; Physics, Multidisciplinary; Physics, Particles & Fields	Astronomy & Astrophysics; Physics	H3718	WOS:A1987H371800001		
J	HUSAIN, V; KUCHAR, KV				HUSAIN, V; KUCHAR, KV			GENERAL COVARIANCE, NEW VARIABLES, AND DYNAMICS WITHOUT DYNAMICS	PHYSICAL REVIEW D			English	Article							CANONICAL GRAVITY; QUANTUM-GRAVITY; RELATIVITY; SPACE; SYSTEM	We give an example of a generally covariant geometric field theory which leads to the standard Gaussian and supermomentum constraints but which lacks the super-Hamiltonian constraint. This theory is closely linked to Ashtekar's canonical formulation of general relativity. We discuss the Dirac constraint quantization of our model and comment on the issues which it raises regarding the quantization of generally covariant systems.		HUSAIN, V (reprint author), UNIV UTAH,DEPT PHYS,SALT LAKE CITY,UT 84112, USA.		Husain, Viqar/C-4685-2012				ASHTEKAR A, 1987, PHYS REV D, V36, P1587, DOI 10.1103/PhysRevD.36.1587; ASHTEKAR A, 1989, CLASSICAL QUANT GRAV, V6, pL185, DOI 10.1088/0264-9381/6/10/001; ASHTEKAR A, 1986, PHYS REV LETT, V57, P2244, DOI 10.1103/PhysRevLett.57.2244; ASHTEKAR AA, 1989, INT J MOD PHYS A, V6, P1493; BERGER BK, 1975, PHYS REV D, V11, P2770, DOI 10.1103/PhysRevD.11.2770; Brink L., 1988, PRINCIPLES STRING TH; CAPOVILLA R, 1989, PHYS REV LETT, V63, P2325, DOI 10.1103/PhysRevLett.63.2325; Cartan E., 1923, ANN SCIENT EC NORM S, V40, P325; Cartan E., 1924, ANN ECOLE NORMALE SU, V41, P1; DESER S, 1988, COMMUN MATH PHYS, V118, P495, DOI 10.1007/BF01466729; DOMBROWS.HD, 1964, MATH Z, V86, P291, DOI 10.1007/BF01110404; Friedrichs K. O., 1927, MATH ANN, V98, P566; GIDDINGS S, 1984, GEN RELAT GRAVIT, V16, P751, DOI 10.1007/BF00762914; Green M. B., 1987, SUPER STRING THEORY; HARTLE JB, 1984, J MATH PHYS, V25, P57, DOI 10.1063/1.525998; HAVAS P, 1964, REV MOD PHYS, V36, P938, DOI 10.1103/RevModPhys.36.938; HOROWITZ GT, 1989, COMMUN MATH PHYS, V125, P417, DOI 10.1007/BF01218410; HUSAIN V, 1990, UNPUB U UTAH REPORT; HUSAIN V, 1989, NUCL PHYS B, V313, P711, DOI 10.1016/0550-3213(89)90403-3; HUSAIN VQ, 1989, NUCL PHYS B, V327, P205, DOI 10.1016/0550-3213(89)90292-7; JACOBSON T, 1988, NUCL PHYS B, V299, P295, DOI 10.1016/0550-3213(88)90286-6; JACOBSON T, 1987, PHYS LETT B, V196, P39, DOI 10.1016/0370-2693(87)91672-8; JACOBSON T, 1988, CLASSICAL QUANT GRAV, V5, P583, DOI 10.1088/0264-9381/5/4/006; KUCHAR K, 1980, PHYS REV D, V22, P1285, DOI 10.1103/PhysRevD.22.1285; KUCHAR K, 1971, PHYS REV D, V4, P955, DOI 10.1103/PhysRevD.4.955; KUCHAR KV, 1989, J MATH PHYS, V30, P1969; KUCHAR KV, IN PRESS EINSTEIN ST, V2; KUNZLE HP, 1976, GEN RELAT GRAVIT, V7, P445; KUNZLE HP, 1972, ANN I H POINCARE, V42, P337; MACCALLUM MAH, 1975, QUANTUM GRAVITY OXFO; MARTIN SP, 1989, NUCL PHYS B, V327, P178, DOI 10.1016/0550-3213(89)90291-5; MISNER CW, 1973, GRAVITATION, pCH12; MISNER CW, 1969, BRANDEIS SUMMER I 19; MONCRIEF V, 1989, J MATH PHYS, V30, P2907, DOI 10.1063/1.528475; ROVELLI C, 1990, NUCL PHYS B, V331, P80, DOI 10.1016/0550-3213(90)90019-A; ROVELLI C, 1988, PHYS REV LETT, V61, P1155, DOI 10.1103/PhysRevLett.61.1155; Ryan M.P., 1972, HAMILTONIAN COSMOLOG; SAMUEL J, 1987, PRAMANA, V28, pL429, DOI 10.1007/BF02847105; SMOLIN L, COMMUNICATION; TRAUTMAN A, 1963, CR HEBD ACAD SCI, V257, P617; TRAUTMAN A, 1965, LECTURES GENERAL REL; WITTEN E, 1988, NUCL PHYS B, V311, P46, DOI 10.1016/0550-3213(88)90143-5	42	52	52	AMERICAN PHYSICAL SOC	COLLEGE PK	ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA	0556-2821			PHYS REV D	Phys. Rev. D	DEC 15	1990	42	12					4070	4077		10.1103/PhysRevD.42.4070		8	Astronomy & Astrophysics; Physics, Particles & Fields	Astronomy & Astrophysics; Physics	EP278	WOS:A1990EP27800015		
J	HALLIWELL, JJ; HARTLE, JB				HALLIWELL, JJ; HARTLE, JB			WAVE-FUNCTIONS CONSTRUCTED FROM AN INVARIANT SUM OVER HISTORIES SATISFY CONSTRAINTS	PHYSICAL REVIEW D			English	Article							STEEPEST-DESCENT CONTOURS; PATH-INTEGRAL APPROACH; QUANTUM COSMOLOGY; S-MATRIX; CANONICAL GEOMETRODYNAMICS; SPACETIME DIFFEOMORPHISMS; PARAMETRIZED THEORIES; GRAVITATIONAL-FIELD; GENERAL COVARIANCE; UNIVERSE	Invariance of classical equations of motion under a group parametrized by functions of time implies constraints between canonical coordinates and momenta. In the Dirac formulation of quantum mechanics, invariance is normally imposed by demanding that physical wave functions are annihilated by the operator versions of these constraints. In the sum-over-histories quantum mechanics, however, wave functions are specified, directly, by appropriate functional integrals. It therefore becomes an interesting question whether the wave functions so specified obey the operator constraints of the Dirac theory. In this paper, we show for a wide class of theories, including gauge theories, general relativity, and first-quantized string theories, that wave functions constructed from a sum over histories are, in fact, annihilated by the constraints provided that the sum over histories is constructed in a manner which respects the invariance generated by the constraints. By this we mean a sum over histories defined with an invariant action, invariant measure, and an invariant class of paths summed over. We use this result to give three derivations of the Wheeler-Dewitt equation for the wave function of the universe starting from the sum-over-histories representation of it. The first uses Becchi-Rouet-Stora-Tyutin methods and the explicit path-integral construction of Batalin, Fradkin, and Vilkovisky. The second is a direct derivation from the gauge-fixed Hamiltonian path integral. The third exploits the embedding variables introduced by Isham and Kuchar, in terms of which the connection with the constraints representing the four-dimensional diffeomorphism group is most clearly seen. In each case it is found that the symmetry leading to the Wheeler-DeWitt equation is not in fact four-dimensional diffeomorphism invariance; rather, it is the closely connected but slightly larger canonical symmetry of the Hamiltonian form of the action of general relativity. By allowing our path-integral construction to be either Euclidean or Lorentzian, we show that the consequent Wheeler-DeWitt equation is independent of which one is taken as a starting point. Our results are general, in that they do not depend on a particular representation of the sum over histories, but they are also formal, in that we do not address such issues as the operator ordering of the derived constraints. Instead, we isolate those general features of a sum over histories which define an invariant construction of a wave function and show that these imply the operator constraints.	UNIV CALIF SANTA BARBARA,INST THEORET PHYS,SANTA BARBARA,CA 93106; UNIV CALIF SANTA BARBARA,DEPT PHYS,SANTA BARBARA,CA 93106	HALLIWELL, JJ (reprint author), MIT,CTR THEORET PHYS,NUCL SCI LAB,CAMBRIDGE,MA 02139, USA.						Arnowitt R., 1962, GRAVITATION INTRO CU; BARVINSKY AO, 1986, PHYS LETT B, V175, P401, DOI 10.1016/0370-2693(86)90612-X; BARVINSKY AO, 1986, PHYS LETT B, V167, P289, DOI 10.1016/0370-2693(86)90348-5; BATALIN IA, 1977, PHYS LETT B, V69, P309, DOI 10.1016/0370-2693(77)90553-6; Bergmann P. G., 1972, International Journal of Theoretical Physics, V5, DOI 10.1007/BF00671650; DIRAC PAM, 1958, PROC R SOC LON SER-A, V246, P333, DOI 10.1098/rspa.1958.0142; DIRAC PAM, 1964, LECTURES QUANTUM MEC; Faddeev L. D., 1974, SOV PHYS USP, V16, P777, DOI 10.1070/PU1974v016n06ABEH004089; Faddeev L.D., 1970, THEOR MATH PHYS, V1, P1; FADDEEV LD, 1967, PHYS LETT B, VB 25, P29, DOI 10.1016/0370-2693(67)90067-6; FEYNMAN RP, 1965, QUANTUM MECHANICS PA; FISCH JML, 1989, PHYS LETT B, V226, P80, DOI 10.1016/0370-2693(89)90292-X; FRADKIN ES, 1975, PHYS LETT B, VB 55, P224, DOI 10.1016/0370-2693(75)90448-7; FRADKIN ES, 1973, PHYS REV D, V8, P4241, DOI 10.1103/PhysRevD.8.4241; FRADKIN ES, 1975, LETT NUOVO CIMENTO, V13, P187, DOI 10.1007/BF02742610; FRADKIN ES, 1977, CERN TH2332 REP; HALLIWELL JJ, 1988, PHYS REV D, V38, P2468, DOI 10.1103/PhysRevD.38.2468; HALLIWELL JJ, 1990, PHYS REV D, V42, P3997, DOI 10.1103/PhysRevD.42.3997; HALLIWELL JJ, 1990, QUANTUM COSMOLOGY BA; HALLIWELL JJ, 1990, PHYS REV D, V41, P1815, DOI 10.1103/PhysRevD.41.1815; HALLIWELL JJ, 1989, PHYS REV D, V39, P2206, DOI 10.1103/PhysRevD.39.2206; HALLIWELL JJ, 1989, PHYS REV D, V40, P1868, DOI 10.1103/PhysRevD.40.1868; HAMERMESH M, 1962, GROUP THEORY ITS APP, P309; Hanson A., 1976, CONTRIBUTI CTR LINCE, V22; HARTLE JB, 1990, QUANTUM COSMOLOGY BA; HARTLE JB, 1984, J MATH PHYS, V25, P57, DOI 10.1063/1.525998; HARTLE JB, 1988, PHYS REV D, V38, P2985, DOI 10.1103/PhysRevD.38.2985; HARTLE JB, 1986, PHYS REV D, V34, P2323, DOI 10.1103/PhysRevD.34.2323; HARTLE JB, 1983, PHYS REV D, V28, P2960, DOI 10.1103/PhysRevD.28.2960; HARTLE JB, 1991, CONCEPTUAL PROBLEMS; HARTLE JB, 1989, 5TH M GROSSM M P PER; HAWKING SW, 1982, ASTROPHYSICAL COSMOL; HAWKING SW, 1984, NUCL PHYS B, V239, P257, DOI 10.1016/0550-3213(84)90093-2; HENNEAUX M, 1982, ANN PHYS-NEW YORK, V143, P127, DOI 10.1016/0003-4916(82)90216-0; HENNEAUX M, 1985, PHYS REP, V126, P1, DOI 10.1016/0370-1573(85)90103-6; ISHAM CJ, 1985, ANN PHYS-NEW YORK, V164, P316, DOI 10.1016/0003-4916(85)90019-3; ISHAM CJ, 1985, ANN PHYS-NEW YORK, V164, P288, DOI 10.1016/0003-4916(85)90018-1; KUCHAL K, 1983, J MATH PHYS, V24, P2122; KUCHAR K, IN PRESS PAPER; KUCHAR KV, 1986, FOUND PHYS, V16, P193, DOI 10.1007/BF01889472; KUCHAR KV, UNPUB; LEE J, 1990, J MATH PHYS, V31, P725, DOI 10.1063/1.528801; LEUTWYLER H, 1964, PHYS REV B, V134, P1155; LOUKO J, 1987, CLASSICAL QUANT GRAV, V4, P581, DOI 10.1088/0264-9381/4/3/016; Noether E., 1918, NACHR GES WISS GOTT, P235; Sundermeyer K., 1982, CONSTRAINED DYNAMICS; TEITELBOIM C, 1982, PHYS REV D, V25, P3159, DOI 10.1103/PhysRevD.25.3159; TEITELBOIM C, 1983, PHYS REV D, V28, P297, DOI 10.1103/PhysRevD.28.297; TEITELBOIM C, 1983, PHYS REV LETT, V50, P795; TEITELBOIM C, 1977, PHYS REV LETT, V38, P1106, DOI 10.1103/PhysRevLett.38.1106; TEITELBOIM C, 1988, 1987 P LAT AM SCH PH; TEITELBOIM C, 1984, J MATH PHYS, V25, P1093, DOI 10.1063/1.526252; TRAUTMAN A, 1962, GRAVITY INTRO CURREN; WOODARD R, 1989, HET723 BROWN REP	54	80	80	AMERICAN PHYSICAL SOC	COLLEGE PK	ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA	0556-2821			PHYS REV D	Phys. Rev. D	FEB 15	1991	43	4					1170	1194		10.1103/PhysRevD.43.1170		25	Astronomy & Astrophysics; Physics, Particles & Fields	Astronomy & Astrophysics; Physics	EX994	WOS:A1991EX99400024		
J	HUSAIN, V				HUSAIN, V			KAC-MOODY ALGEBRAS FROM GENERAL COVARIANCE	PHYSICS LETTERS B			English	Article							RELATIVITY	It is shown how Kac-Moody algebras arise from symmetry reductions of a four-dimensional generally covariant field theory. via a (3 + 1) canonical decomposition. This observation may be of significance in the quantization of certain midi-superspace reductions of general relativity.		HUSAIN, V (reprint author), UNIV UTAH,DEPT PHYS,SALT LAKE CITY,UT 84112, USA.		Husain, Viqar/C-4685-2012				ASHTEKAR A, 1987, PHYS REV D, V36, P1587, DOI 10.1103/PhysRevD.36.1587; ASHTEKAR A, 1986, PHYS REV LETT, V57, P2244, DOI 10.1103/PhysRevLett.57.2244; Goddard P., 1986, INT J MOD PHYS A, V1, P303, DOI 10.1142/S0217751X86000149; HUSAIN V, 1990, PHYS REV D, V42, P4070, DOI 10.1103/PhysRevD.42.4070; HUSAIN VQ, 1989, NUCL PHYS B, V327, P205, DOI 10.1016/0550-3213(89)90292-7	5	0	0	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0370-2693			PHYS LETT B	Phys. Lett. B	AUG 8	1991	265	1-2					92	94		10.1016/0370-2693(91)90019-M		3	Physics, Multidisciplinary	Physics	GD328	WOS:A1991GD32800018		
J	RYCKMAN, TA				RYCKMAN, TA			P(OINT)-C(OINCIDENCE) THINKING - THE IRONIC ATTACHMENT OF LOGICAL EMPIRICISM TO GENERAL-RELATIVITY (AND SOME LINGERING CONSEQUENCES)	STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE			English	Article							COVARIANCE; EINSTEIN			RYCKMAN, TA (reprint author), NORTHWESTERN UNIV,DEPT PHILOSOPHY,BRENTANO HALL,EVANSTON,IL 60208, USA.						BROSE H, 1979, M SCHLICK PHILOS PAP, V1, P207; CARNAP, 1928, LOGISCHE AUFBAU WELT; CASSIRER E, 1953, SUBSTANCE FUNCTION E, P347; COFFA JA, 1991, SEMANTIC TRADITION K, P189; COOLIDGE JA, HIST GEOMETRICAL MET, P410; EARMAN J, 1989, WORLD ENOUGH SPACE T, P106; EARMAN J, 1987, BRIT J PHILOS SCI, V38, P515, DOI 10.1093/bjps/38.4.515; EARMAN J, 1978, STUD HIST PHILOS SCI, V9, P251, DOI 10.1016/0039-3681(78)90008-0; EDDINGTON, 1923, MATH THEORY RELATIVI, P130; EINSTEIN, 1952, RELATIVITY SPECIAL G, P135; EINSTEIN, 1918, ANN PHYSIK, V55, P242; Einstein A., 1949, A EINSTEIN PHILOS SC, P2; FOCK V, 1957, REV MOD PHYS, V29, P325, DOI 10.1103/RevModPhys.29.325; FRIEDMAN M, EMPIRICISM EXPLANATI; Friedman M., 1988, HIST PHILOS MODERN M, P82; FRIEDMAN M, 1983, PHILOS SCI, V50, P498, DOI 10.1086/289133; FRIEDMAN M, 1984, NOUS, V18, P653, DOI 10.2307/2214882; FRIEDMAN M, 1987, NOUS, V21, P521, DOI 10.2307/2215671; GRUNBAUM A, 1957, PHILOS REV, V66, P525, DOI 10.2307/2182748; HALLER R, 1986, FRAGEN WITTGENSTEIN, P89; Holton G., 1988, THEMATIC ORIGINS SCI, P237; HOWARD D, IN PRESS EINSTEIN KA; Howard Don, 1984, PHILOS NATURALIS, V21, P616; ILLY J, 1989, ARCH HIST EXACT SCI, V39, P247, DOI 10.1007/BF00329868; JOHNSON DM, 1981, ARCH HIST EXACT SCI, V25, P86; KERSZBERG P, 1989, INVENTED UNIVERSE, pCH1; KILMISTER CW, 1973, GENERAL THEORY RELAT, P220; Kretschmann E., 1915, Annalen der Physik, V48; MACH, 1976, KNOWLEDGE ERROR, P256; MACH, 1924, GRUNDEGEAANKEN MACHS, P86; MACH, 1960, SCI MECHANICS, pR28; MACH, 1901, MONIST, V11, P321; MACH L, 1921, PRINCIPEN PHYSIKALIS; NORTON J, 1989, FOUND PHYS, V19, P1215, DOI 10.1007/BF00731880; NORTON J, 1985, STUD HIST PHILOS SCI, V16, P203, DOI 10.1016/0039-3681(85)90002-0; NORTON J, 1985, RIV STOR SCI, V2, P181; Norton J., 1984, HIST STUD PHYS SCI, V14, P253; NORTON John, 1987, MEASUREMENT REALISM, P153; PAIS A, 1982, SUBTILE LORD SCI LIF, P283; PETZOLDT, 1921, MECHANIK IHRER ENTWI, P490; PETZOLDT, 1921, WELTPROBLEM STANDPUN, P21; PETZOLDT, 1912, WELTPROBLEM STANDPUN; POINCARE, 1912, REV METAPHYS MORALE, V20, P483; REICHENBACH, 1918, ALLEGEMEINE ERKENNTN; REICHENBACH, 1922, LOGOS, V10, P316; REIDEL D, 1978, H REICHENBACH SELECT, V2, P3; RYCKMAN TA, 1991, SYNTHESE, V88, P57, DOI 10.1007/BF00540093; RYCKMAN TA, PSA 1990, V2, P149; RYCKMAN TA, 1983, SIDELIGHTS RELATIVIT, P35; SCHILPP P, 1963, PHILOS R CARNAP, P12; SCHLICK, 1920, COMMUNICATION    NOV; SCHLICK, 1922, NATURWISSENSCHAFTEN, V10, P873; SCHLICK, 1922, RAUM ZEIT GEGENWARTI, P105; SOMMERFELD A, 1918, COMMUNICATION   0201; STACHEL J, 1986, 4TH P MARC GROSSM M, P1857; STACHEL J, 1916, ANN PHYSIK, V49, P769; Stachel J., 1989, Einstein and the History of General Relativity. Based on the Proceedings of the 1986 Osgood Hill Conference; STEIN H, 1950, SCI AM, V182; Stein H., 1967, TEXAS Q, V10, P174; Stein H., 1972, J PHILOS, V69, P621; TORRETTI R, 1978, PHILOS GEOMETRY RIEM, P340; TORRETTI R, 1983, RELATIVITY GEOMETRY, P316; UEBEL TE, 1991, JOUR FIXE VERNUNFT; WEYL, 1918, RAUM ZEIT MATERIE, P175; WEYL Hermann, 1918, RAUM ZEIT MATERIE; Wolters Gereon, 1987, MACH 1 MACH 2 EINSTE; 1983, F SPACE TIME THEORIE, P18; 1916, PHYS Z, V17, P101; 1924, AXIOMATIK RELATIVIST; 1956, MEANING RELATIVITY, P2; ERGANZUNGSHEFTE KANT; 1917, ANN PHYSIK, V53, P575; 1921, STELLUNG RELATIVITAT, P64; 1921, KANT-STUD, V26, P96; 1920, RELATIVITATSTHEORIE; 1922, RAUM EIN BEITRAGE WI; 1921, RELATIVITATSTHEORIE, P238; 1920, EINSTEINSCHEN RELATI; 1917, NATURWISSENSCHAFTEN, V5, P65; PHILOS RAUM ZEIT LEH; 1951, RISE SCI PHILOS, P255	81	19	19	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB	0039-3681			STUD HIST PHILOS SCI	Stud. Hist. Philos. Sci.	SEP	1992	23	3					471	497		10.1016/0039-3681(92)90005-Q		27	History & Philosophy Of Science	History & Philosophy of Science	JR540	WOS:A1992JR54000005		
J	SACHS, M				SACHS, M			ON CZACHOR ERROR IN HIS ANALYSIS OF SACHS UNIFIED FIELD-THEORY	PHYSICS ESSAYS			English	Article						GENERAL RELATIVITY; UNIFIED FIELD THEORY; SPINOR; QUATERNION		It is shown that Czachor's recent claim, that Sachs's unification of gravitation and electrodynamics is redundant and reduces to an equivalent of Einstein's tensor formalism for gravitation alone, is incorrect. Czachor's main error is due to his failure to understand the quaternion formalism developed by Sachs and the generalization induced by dropping reflection symmetry in the underlying covariance group.		SACHS, M (reprint author), SUNY BUFFALO,DEPT PHYS & ASTRON,BUFFALO,NY 14260, USA.							0	0	0	UNIV TORONTO PRESS INC	TORONTO	JOURNALS DIVISION, 5201 DUFFERIN ST, DOWNSVIEW, TORONTO ON M3H 5T8, CANADA	0836-1398			PHYS ESSAYS	Phys. Essays	DEC	1992	5	4					548	550				3	Physics, Multidisciplinary	Physics	KZ150	WOS:A1992KZ15000016		
