PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	ARNOWITT, R; MISNER, CW; DESER, S				ARNOWITT, R; MISNER, CW; DESER, S			COORDINATE INVARIANCE AND ENERGY EXPRESSIONS IN GENERAL RELATIVITY	PHYSICAL REVIEW			English	Article																ARNOWITT R, 1960, PHYS REV, V118, P1100, DOI 10.1103/PhysRev.118.1100; ARNOWITT R, 1961, PHYS REV, V121, P1556, DOI 10.1103/PhysRev.121.1556; ARNOWITT R, NUOVO CIMENTO; ARNOWITT R, 1960, PHYS REV, V117, P1595, DOI 10.1103/PhysRev.117.1595; BEL L, 1959, CR HEBD ACAD SCI, V248, P1297; DIRAC PAM, 1959, PHYS REV LETT, V2, P368, DOI 10.1103/PhysRevLett.2.368; GOLDBERG JN, 1958, PHYS REV, V111, P315, DOI 10.1103/PhysRev.111.315; GUPTA SN, 1954, PHYS REV, V96, P1683, DOI 10.1103/PhysRev.96.1683; Landau L. D., 1951, CLASSICAL THEORY FIE; MOLLER C, 1958, ANN PHYS-NEW YORK, V4, P347, DOI 10.1016/0003-4916(58)90053-8; Papapetrou A., 1948, Proceedings of the Royal Irish Academy, Section A (Mathematical, Astronomical and Physical Science), V52	11	240	241	AMERICAN PHYSICAL SOC	COLLEGE PK	ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA	0031-899X			PHYS REV			1961	122	3					997	&		10.1103/PhysRev.122.997		0	Physics, Multidisciplinary	Physics	1446C	WOS:A19611446C00002		
J	DAVIS, WR				DAVIS, WR			A VARIATIONAL FORMULATION OF STANDARD GENERAL RELATIVITY WHICH INCLUDES FULL BIANCHI IDENTITIES IN CONSEQUENCE OF AN EXTENDED GENERAL INVARIANCE PROPERTY	ANNALEN DER PHYSIK			English	Article																DAVIS WR, 1957, Z PHYS, V148, P1, DOI 10.1007/BF01327361; DAVIS WR, 1965, NUOVO CIMENTO, V38, P1531, DOI 10.1007/BF02750077; DAVIS WR, 1965, NUOVO CIMENTO, V38, P1558, DOI 10.1007/BF02750078; DAVIS WR, 1963, NUOVO CIMENTO, V27, P1492, DOI 10.1007/BF02785641; DAVIS WR, 1966, J MATH PHYS, V7, P975, DOI 10.1063/1.1705011; EISENHART LP, 1927, NONRIEMANNIAN GOEMET; LANCZOS C, 1962, REV MOD PHYS, V34, P329; PETROV AZ, 1962, RECENT DEVELOPMENTS; SCHRODINGER E, 1954, SPACETIME STRUCTURE; THOMAS TY, 1934, DIFFERENTIAL INVARIA, P81301; WHEELER JA, 1962, TOPICS MODERN PHYSIC, V1	11	5	5	WILEY-V C H VERLAG GMBH	BERLIN	MUHLENSTRASSE 33-34, D-13187 BERLIN, GERMANY	0003-3804			ANN PHYS-BERLIN	Ann. Phys.-Berlin		1968	22	1-2					77	&				0	Physics, Multidisciplinary	Physics	C4803	WOS:A1968C480300009		
J	SUVEGES, M				SUVEGES, M			IS POINCARE INVARIANCE COMPATIBLE WITH GENERAL RELATIVITY	ACTA PHYSICA ACADEMIAE SCIENTIARUM HUNGARICAE			English	Article																BEIGLBOCK W, 1964, Z PHYS, V179, P148, DOI 10.1007/BF01381251; BORUVKA O, 1960, GRUNDLAGEN GRUPPOID; BRANDT H, 1926, MATH ANN, V96, P36; LICHNEROWICZ A, 1962, THEORIE GLOBALES CON; SADEH D, 1968, SCIENCE, V159, P307, DOI 10.1126/science.159.3812.307; SADEH D, 1968, SCIENCE, V161, P567, DOI 10.1126/science.161.3841.567; SCHOUTEN JA, 1954, RICCI CALCULUS, pCH7; SUVEGES M, TO BE PUBLISHED; SUVEGES M, 1966, ACTA PHYS HUNG, V20, P51; SUVEGES M, 1966, PHYS LETT, V20, P265, DOI 10.1016/0031-9163(66)90357-X; SUVEGES M, 1966, ACTA PHYS HUNG, V20, P273; SUVEGES M, 1966, ACTA PHYS HUNG, V20, P41; SZEKERES G, 1968, NATURE, V220, P1116, DOI 10.1038/2201116a0; VUBLEN O, 1953, FOUNDATIONS DIFFEREN	14	2	2	AKADEMIAI KIADO	BUDAPEST	PO BOX 245, H-1519 BUDAPEST, HUNGARY	0001-6705			ACTA PHYS HUNG			1969	27	1-4					261	&				0	Physics, Multidisciplinary	Physics	F0871	WOS:A1969F087100021		
J	LORD, EA				LORD, EA			GENERAL RELATIVITY FROM GAUGE INVARIANCE	PROCEEDINGS OF THE CAMBRIDGE PHILOSOPHICAL SOCIETY-MATHEMATICAL AND PHYSICAL SCIENCES			English	Article																Anderson J.L., 1967, PRINCIPLES RELATIVIT; BADE WL, 1953, REV MOD PHYS, V25, P714, DOI 10.1103/RevModPhys.25.714; BARGMANN V, 1948, P NATL ACAD SCI USA, V34, P211, DOI 10.1073/pnas.34.5.211; BHABHA JJ, 1949, REV MODERN PHYS, V21, P451; BROGLIE LD, 1943, THEORIE GENERALE PAR; Dirac P.A.M., 1936, Proceedings of the Royal Society of London, Series A (Mathematical and Physical Sciences), V155, DOI 10.1098/rspa.1936.0111; Duffin RJ, 1938, PHYS REV, V54, P1114, DOI 10.1103/PhysRev.54.1114; Einstein A, 1916, SITZBER K PREUSS AKA, P688; Fierz M, 1939, PROC R SOC LON SER-A, V173, P0211, DOI 10.1098/rspa.1939.0140; GREEN HS, 1948, P CAMBRIDGE PHIL SOC, V45, P263; Hamilton W.R., 1866, ELEMENTS QUATERNIONS; HARISHCHANDRA, 1947, PHYS REV, V71, P793, DOI 10.1103/PhysRev.71.793; HARISHCHANDRA, 1946, PROC R SOC LON SER-A, V186, P502; KEMMER N, 1939, P ROY SOC          A, V73, P91; KIBBLE TW, 1961, J MATH PHYS, V2, P212, DOI 10.1063/1.1703702; KIBBLE TWB, 1965, PHYS REV, V139, pB712; Kramers HA, 1941, PHYSICA, V8, P597, DOI 10.1016/S0031-8914(41)90365-8; LEE TD, 1957, PHYS REV, V105, P1671, DOI 10.1103/PhysRev.105.1671; NELSON TJ, 1969, PHYS REV, V179, P1145; Pauli W.  Jr., 1927, Zeitschrift fur Physik, V43, DOI 10.1007/BF01397326; Rarita W, 1941, PHYS REV, V60, P61, DOI 10.1103/PhysRev.60.61; RASTALL P, 1964, REV MOD PHYS, V36, P820, DOI 10.1103/RevModPhys.36.820; SCIAMA DW, 1963, RECENT DEVELOPMENTS, P415; UTIYAMA T, 1956, PHYS REV, V101, P1597; Weyl H, 1929, P NATL ACAD SCI USA, V15, P323, DOI 10.1073/pnas.15.4.323; Wigner E, 1939, ANN MATH, V40, P149, DOI 10.2307/1968551; YANG CN, 1954, PHYS REV, V96, P191, DOI 10.1103/PhysRev.96.191	27	11	11	CAMBRIDGE UNIV PRESS	NEW YORK	40 WEST 20TH STREET, NEW YORK, NY 10011-4211				PROC CAMB PHILOS S-M			1971	69	MAY					423	&				0	Multidisciplinary Sciences	Science & Technology - Other Topics	J3180	WOS:A1971J318000007		
J	BRAMSON, BD				BRAMSON, BD			ROLE OF CONFORMAL INVARIANCE IN GENERAL RELATIVITY AND ORIGINS OF MASS	PHYSICS LETTERS A			English	Article									UNIV OXFORD,MATH INST,OXFORD,ENGLAND							COLEMAN S, 1970, ANN PHYS-NEW YORK, V59, P42; DESER S, 1970, ANN PHYS-NEW YORK, V59, P248, DOI 10.1016/0003-4916(70)90402-1; Penrose R, 1968, INT J THEOR PHYS, V1, P61, DOI DOI 10.1007/BF00668831; PENROSE R, 1967, BATTELLE RENCONTRES, P12	4	9	9	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0375-9601			PHYS LETT A	Phys. Lett. A		1974	A 47	6					431	432		10.1016/0375-9601(74)90562-3		2	Physics, Multidisciplinary	Physics	T0963	WOS:A1974T096300002		
J	BICKNELL, GV				BICKNELL, GV			CONFORMAL INVARIANCE IN GENERAL RELATIVITY	JOURNAL OF PHYSICS A-MATHEMATICAL AND GENERAL			English	Article									UNIV SYDNEY,DEPT APPL MATH,SYDNEY 2006,NEW S WALES,AUSTRALIA							BRAMSON BD, 1974, PHYS LETT A, VA 47, P431, DOI 10.1016/0375-9601(74)90562-3; SYNGE JL, 1960, RELATIVITY GENERAL T; Weinberg S., 1972, GRAVITATION COSMOLOG	3	7	7	IOP PUBLISHING LTD	BRISTOL	DIRAC HOUSE, TEMPLE BACK, BRISTOL, ENGLAND BS1 6BE	0305-4470			J PHYS A-MATH GEN	J. Phys. A-Math. Gen.		1976	9	7					1077	1080		10.1088/0305-4470/9/7/009		4	Physics, Multidisciplinary; Physics, Mathematical	Physics	BY666	WOS:A1976BY66600009		
J	SUGGETT, GJ				SUGGETT, GJ			GENERAL-RELATIVITY AND CONFORMAL INVARIANCE .1. NEW LOOK AT SOME OLD FIELD EQUATIONS	JOURNAL OF PHYSICS A-MATHEMATICAL AND GENERAL			English	Article									UNIV WALES UNIV COLL CARDIFF,DEPT APPL MATH & ASTRON,CARDIFF CF1 1XL,S GLAMORGAN,WALES							BRAMSON BD, 1974, PHYS LETT A, VA 47, P431, DOI 10.1016/0375-9601(74)90562-3; CANUTO V, 1977, PHYS REV LETT, V39, P429, DOI 10.1103/PhysRevLett.39.429; DICKE RH, 1962, PHYS REV, V125, P2163, DOI 10.1103/PhysRev.125.2163; DIRAC PAM, 1973, PROC R SOC LON SER-A, V333, P403, DOI 10.1098/rspa.1973.0070; EINSTEIN A, 1949, REMARKS, P665; FREUND PGO, 1974, ANN PHYS-NEW YORK, V84, P440, DOI 10.1016/0003-4916(74)90310-8; Hoyle F., 1974, ACTION DISTANCE PHYS; HOYLE F, 1964, PROC R SOC LON SER-A, V282, P191, DOI 10.1098/rspa.1964.0227; ISLAM JN, 1970, PROC CAMB PHILOS S-M, V67, P397; ISLAM JN, 1969, PROC R SOC LON SER-A, V313, P71, DOI 10.1098/rspa.1969.0180; LORD EA, 1972, NUOV CIMEN S I FIS B, VB 11, P185, DOI 10.1007/BF02738553; OHANLON J, 1973, NUOVO CIMENTO B, VB 17, P1, DOI 10.1007/BF02906422; OHANLON J, 1973, NUOVO CIMENTO B, VB 14, P190; OMOTE M, 1971, LETT NUOVO CIMENTO, V2, P58, DOI 10.1007/BF02754755; OMOTE M, 1974, LETT NUOVO CIMENTO, V10, P33, DOI 10.1007/BF02824539; PANDRES D, 1974, LETT NUOVO CIMENTO, V11, P639, DOI 10.1007/BF02763160; POINCARE H., 1929, SCI HYPOTHESIS; POINCARE H, 1946, F SCI; UTIYAMA R, 1975, GEN RELAT GRAVIT, V6, P41, DOI 10.1007/BF00766599; Weinberg S., 1972, GRAVITATION COSMOLOG	20	2	2	IOP PUBLISHING LTD	BRISTOL	DIRAC HOUSE, TEMPLE BACK, BRISTOL, ENGLAND BS1 6BE	0305-4470			J PHYS A-MATH GEN	J. Phys. A-Math. Gen.		1979	12	3					367	373		10.1088/0305-4470/12/3/012		7	Physics, Multidisciplinary; Physics, Mathematical	Physics	GP861	WOS:A1979GP86100012		
J	SUGGETT, GJ				SUGGETT, GJ			GENERAL-RELATIVITY AND CONFORMAL INVARIANCE .2. NONEXISTENCE OF BLACK-HOLES	JOURNAL OF PHYSICS A-MATHEMATICAL AND GENERAL			English	Article									UNIV WALES UNIV COLL CARDIFF,DEPT APPL MATH & ASTRON,CARDIFF CF1 1XL,S GLAMORGAN,WALES							Hoyle F., 1972, Monthly Notices of the Royal Astronomical Society, V155; HOYLE F, 1966, PROC R SOC LON SER-A, V294, P138, DOI 10.1098/rspa.1966.0199; HOYLE F, 1975, ASTROPHYS J, V196, P661, DOI 10.1086/153452; HOYLE F, 1972, COSMOLOGY FUSION OTH; Hoyle F., 1972, Monthly Notices of the Royal Astronomical Society, V155; HOYLE F, 1973, Q JR ASTRON SOC, V14, P3; NARLIKAR JV, 1977, LETT NUOVO CIMENTO, V19, P517; SUGGETT GJ, 1976, THESIS U WALES; SUGGETT GJ, 1975, ASTROPHYSICS RELATIV, V13; SUGGETT GJ, 1979, J PHYS A-MATH GEN, V12, P367, DOI 10.1088/0305-4470/12/3/012	10	1	1	IOP PUBLISHING LTD	BRISTOL	DIRAC HOUSE, TEMPLE BACK, BRISTOL, ENGLAND BS1 6BE	0305-4470			J PHYS A-MATH GEN	J. Phys. A-Math. Gen.		1979	12	3					375	381		10.1088/0305-4470/12/3/013		7	Physics, Multidisciplinary; Physics, Mathematical	Physics	GP861	WOS:A1979GP86100013		
J	NAKANISHI, N				NAKANISHI, N			INDEFINITE-METRIC QUANTUM-FIELD THEORY OF GENERAL-RELATIVITY .14. 16-DIMENSIONAL NOETHER SUPER-CURRENTS AND GENERAL LINEAR INVARIANCE	PROGRESS OF THEORETICAL PHYSICS			English	Article										NAKANISHI, N (reprint author), KYOTO UNIV,MATH SCI RES INST,KYOTO 606,JAPAN.						MOLLER C, 1961, ANN PHYS-NEW YORK, V12, P118, DOI 10.1016/0003-4916(61)90148-8; NAKANISHI N, 1979, PROG THEOR PHYS, V62, P1101, DOI 10.1143/PTP.62.1101; NAKANISHI N, 1978, PROG THEOR PHYS, V60, P1890, DOI 10.1143/PTP.60.1890; NAKANISHI N, 1979, PROG THEOR PHYS, V62, P1385, DOI 10.1143/PTP.62.1385; NAKANISHI N, 1981, PROG THEOR PHYS, V65, P728, DOI 10.1143/PTP.65.728; NAKANISHI N, 1980, PROG THEOR PHYS, V63, P2078, DOI 10.1143/PTP.63.2078; NAKANISHI N, 1980, PROG THEOR PHYS, V64, P639, DOI 10.1143/PTP.64.639; NAKANISHI N, 1979, PHYS REV LETT, V43, P91, DOI 10.1103/PhysRevLett.43.91; NAKANISHI N, 1981, PROG THEOR PHYS, V65, P1041, DOI 10.1143/PTP.65.1041; NAKANISHI N, 1980, Z PHYS C PART FIELDS, V4, P17, DOI 10.1007/BF01477303; NAKANISHI N, 1979, PROG THEOR PHYS, V61, P1536, DOI 10.1143/PTP.61.1536; NAKANISHI N, 1978, PROG THEOR PHYS, V59, P972, DOI 10.1143/PTP.59.972; NAKANISHI N, 1979, PROG THEOR PHYS, V62, P779, DOI 10.1143/PTP.62.779; NAKANISHI N, 1980, PROG THEOR PHYS, V63, P656, DOI 10.1143/PTP.63.656; NAKANISHI N, 1980, RIMS341 PREPR; NAKANISHI N, 1981, PROG THEOR PHYS, V65, P1719, DOI 10.1143/PTP.65.1719; NAKANISHI N, 1978, PROG THEOR PHYS, V60, P1190, DOI 10.1143/PTP.60.1190; NAKANISHI N, 1980, PROG THEOR PHYS, V63, P1823, DOI 10.1143/PTP.63.1823; OJIMA I, 1978, NUCL PHYS B, V143, P340, DOI 10.1016/0550-3213(78)90029-9; UTIYAMA R, 1978, THEORY GENERAL RELAT, pCH5; VANNIEUWENHUIZE.P, 1979, SUPERGRAVITY	21	14	14	KYOTO UNIV	KYOTO	YUKAWA HALL PROGRESS THEORETICAL PHYSICS, KYOTO 606-01, JAPAN	0033-068X			PROG THEOR PHYS	Prog. Theor. Phys.		1981	66	5					1843	1857		10.1143/PTP.66.1843		15	Physics, Multidisciplinary	Physics	MT795	WOS:A1981MT79500024		
J	MALUF, JW				MALUF, JW			CONFORMAL-INVARIANCE AND TORSION IN GENERAL-RELATIVITY	GENERAL RELATIVITY AND GRAVITATION			English	Article									UNIV ROCHESTER,DEPT PHYS & ASTRON,ROCHESTER,NY 14627							BINEGAR B, 1983, PHYS REV D, V27, P2249, DOI 10.1103/PhysRevD.27.2249; BRANS C, 1961, PHYS REV, V124, P925, DOI 10.1103/PhysRev.124.925; COOTE NCT, 1978, GEN RELAT GRAVIT, V9, P621, DOI 10.1007/BF00761006; DIRAC PAM, 1973, PROC R SOC LON SER-A, V333, P403, DOI 10.1098/rspa.1973.0070; Duff M.J, 1981, QUANTUM GRAVITY, V2, P81; Einstein A., 1953, MEANING RELATIVITY; FRONSDAL C, 1984, PHYS REV D, V30, P2081, DOI 10.1103/PhysRevD.30.2081; KAKU M, 1983, PHYS REV D, V27, P2809, DOI 10.1103/PhysRevD.27.2809; PONOMARIOV VN, 1982, GEN RELAT GRAVIT, V14, P309, DOI 10.1007/BF00756267; SCHWINGER J, 1963, PHYS REV, V130, P800, DOI 10.1103/PhysRev.130.800; SCHWINGER J, 1963, PHYS REV, V130, P1253, DOI 10.1103/PhysRev.130.1253; SEZGIN E, 1980, PHYS REV D, V21, P3269, DOI 10.1103/PhysRevD.21.3269; SMOLIN L, 1979, NUCL PHYS B, V160, P253, DOI 10.1016/0550-3213(79)90059-2; STELLE KS, 1977, PHYS REV D, V16, P953, DOI 10.1103/PhysRevD.16.953; UNRUH WG, 1984, QUANTUM THEORY GRAVI; UTIYAMA R, 1975, PROG THEOR PHYS, V53, P565, DOI 10.1143/PTP.53.565; Veltman M., 1981, METHODS FIELD THEORY; Weinberg S., 1979, EINSTEIN CENTENARY S; Weyl H, 1929, Z PHYS, V56, P330, DOI 10.1007/BF01339504; Weyl H., 1952, SPACE TIME MATTER; ZEE A, 1979, PHYS REV LETT, V42, P417, DOI 10.1103/PhysRevLett.42.417; ZEE A, 1979, PHYS REV LETT, V44, P703	22	5	5	PLENUM PUBL CORP	NEW YORK	233 SPRING ST, NEW YORK, NY 10013	0001-7701			GEN RELAT GRAVIT	Gen. Relativ. Gravit.	JAN	1987	19	1					57	71		10.1007/BF01119811		15	Astronomy & Astrophysics; Physics, Multidisciplinary; Physics, Particles & Fields	Astronomy & Astrophysics; Physics	F5771	WOS:A1987F577100005		
