count: 00012	high: 0.5352	 avg: 0.3370	   word: presence
count: 00010	high: 0.8941	 avg: 0.5758	   word: dark energy
count: 00008	high: 0.5147	 avg: 0.3909	   word: gravity
count: 00008	high: 0.4822	 avg: 0.3738	   word: universe
count: 00007	high: 0.4571	 avg: 0.3455	   word: theory
count: 00007	high: 0.9845	 avg: 0.6875	   word: black holes
count: 00006	high: 0.9377	 avg: 0.6476	   word: energy density
count: 00006	high: 0.8967	 avg: 0.4845	   word: existence
count: 00005	high: 0.9565	 avg: 0.7494	   word: scalar field
count: 00005	high: 0.4341	 avg: 0.3523	   word: parameters
count: 00005	high: 0.6819	 avg: 0.5725	   word: general relativity
count: 00005	high: 0.5181	 avg: 0.4191	   word: model
count: 00005	high: 0.4812	 avg: 0.3777	   word: possibility
count: 00005	high: 0.6899	 avg: 0.5400	   word: field equations
count: 00004	high: 0.4354	 avg: 0.3144	   word: form
count: 00004	high: 0.5688	 avg: 0.3987	   word: formalism
count: 00004	high: 0.4841	 avg: 0.3603	   word: Einstein
count: 00004	high: 0.3593	 avg: 0.3286	   word: solution
count: 00004	high: 0.4528	 avg: 0.3643	   word: matter
count: 00004	high: 0.4477	 avg: 0.3678	   word: results
count: 00003	high: 0.3260	 avg: 0.2898	   word: case
count: 00003	high: 0.4348	 avg: 0.3654	   word: properties
count: 00003	high: 0.5359	 avg: 0.4637	   word: metric functions
count: 00003	high: 0.3533	 avg: 0.3259	   word: state
count: 00003	high: 0.3639	 avg: 0.2806	   word: dynamics
count: 00003	high: 0.4427	 avg: 0.3407	   word: trace
count: 00003	high: 0.3718	 avg: 0.3472	   word: example
count: 00003	high: 0.9418	 avg: 0.8384	   word: black hole
count: 00003	high: 0.9906	 avg: 0.8582	   word: cosmological constant problem
count: 00003	high: 0.5600	 avg: 0.5485	   word: cosmological constants
count: 00003	high: 0.3842	 avg: 0.3436	   word: space
count: 00003	high: 0.7849	 avg: 0.6356	   word: vacuum energy
count: 00003	high: 0.3473	 avg: 0.3414	   word: role
count: 00003	high: 0.5749	 avg: 0.5566	   word: event horizon
count: 00003	high: 0.9873	 avg: 0.8408	   word: phase transition
count: 00003	high: 0.3368	 avg: 0.3334	   word: equation
count: 00003	high: 0.4490	 avg: 0.3735	   word: behavior
count: 00003	high: 0.4514	 avg: 0.3753	   word: analysis
count: 00003	high: 0.4411	 avg: 0.3827	   word: paper
count: 00003	high: 0.9511	 avg: 0.6748	   word: gravitational field
count: 00003	high: 0.5258	 avg: 0.4728	   word: dark matter
count: 00003	high: 0.6768	 avg: 0.5325	   word: matter field
count: 00003	high: 0.3685	 avg: 0.3298	   word: dimensions
count: 00003	high: 0.9281	 avg: 0.6276	   word: cosmological constant
count: 00003	high: 0.5747	 avg: 0.4659	   word: inflation
count: 00003	high: 0.7005	 avg: 0.6596	   word: scalar-tensor theory
count: 00003	high: 0.7200	 avg: 0.5571	   word: Friedmann equations
count: 00003	high: 0.9278	 avg: 0.6027	   word: CDM model
count: 00003	high: 0.3578	 avg: 0.2665	   word: function
count: 00003	high: 0.4496	 avg: 0.3647	   word: context
count: 00002	high: 0.3290	 avg: 0.3128	   word: Zel'dovich
count: 00002	high: 0.4550	 avg: 0.4326	   word: matching
count: 00002	high: 0.4026	 avg: 0.3854	   word: exact solutions
count: 00002	high: 0.4240	 avg: 0.3818	   word: view
count: 00002	high: 0.4240	 avg: 0.3958	   word: point
count: 00002	high: 0.8116	 avg: 0.6815	   word: spatial infinity
count: 00002	high: 0.4579	 avg: 0.4411	   word: density
count: 00002	high: 0.3613	 avg: 0.3175	   word: consequence
count: 00002	high: 0.6768	 avg: 0.6592	   word: perfect fluid
count: 00002	high: 0.7015	 avg: 0.6877	   word: scalar curvature
count: 00002	high: 0.4406	 avg: 0.3947	   word: concept
count: 00002	high: 0.3437	 avg: 0.3008	   word: conditions
count: 00002	high: 0.3466	 avg: 0.3186	   word: mass
count: 00002	high: 0.5844	 avg: 0.5456	   word: qualitative analysis
count: 00002	high: 0.4290	 avg: 0.3808	   word: notions
count: 00002	high: 0.7816	 avg: 0.6761	   word: General Relativity
count: 00002	high: 0.3440	 avg: 0.3418	   word: extension
count: 00002	high: 0.3495	 avg: 0.3422	   word: R,T
count: 00002	high: 0.6387	 avg: 0.5542	   word: energy-momentum tensor
count: 00002	high: 0.6445	 avg: 0.5685	   word: Jordan frame
count: 00002	high: 0.6462	 avg: 0.5699	   word: expectation value
count: 00002	high: 0.6998	 avg: 0.6436	   word: stress energy tensor
count: 00002	high: 0.3326	 avg: 0.2821	   word: eye
count: 00002	high: 0.3620	 avg: 0.3524	   word: expansion
count: 00002	high: 0.3614	 avg: 0.3524	   word: phase
count: 00002	high: 0.3772	 avg: 0.3651	   word: absence
count: 00002	high: 0.5806	 avg: 0.5648	   word: asymptotically AdS
count: 00002	high: 0.6092	 avg: 0.5288	   word: anti-de Sitter
count: 00002	high: 0.9657	 avg: 0.8649	   word: massless scalar field
count: 00002	high: 0.3479	 avg: 0.3451	   word: ratio
count: 00002	high: 0.4272	 avg: 0.3877	   word: derivation
count: 00002	high: 0.8537	 avg: 0.6683	   word: total mass
count: 00002	high: 0.4636	 avg: 0.4216	   word: symmetry
count: 00002	high: 0.6812	 avg: 0.6610	   word: three-dimensional gravity
count: 00002	high: 0.3939	 avg: 0.3219	   word: cosmology
count: 00002	high: 0.6589	 avg: 0.6532	   word: new approach
count: 00002	high: 0.3467	 avg: 0.3002	   word: temperature
count: 00002	high: 0.3539	 avg: 0.3055	   word: limit
count: 00002	high: 0.5468	 avg: 0.5456	   word: exact solution
count: 00002	high: 0.5935	 avg: 0.5763	   word: Born-Infeld parameter
count: 00002	high: 0.6305	 avg: 0.6260	   word: free parameters
count: 00002	high: 0.7943	 avg: 0.7383	   word: black hole solution
count: 00002	high: 0.5560	 avg: 0.4832	   word: effective potential
count: 00002	high: 0.3596	 avg: 0.2963	   word: constants
count: 00002	high: 0.6126	 avg: 0.5647	   word: quantum level
count: 00002	high: 0.9263	 avg: 0.7773	   word: radial coordinate
count: 00002	high: 0.8906	 avg: 0.7951	   word: BTZ black hole
count: 00002	high: 0.5786	 avg: 0.3925	   word: constant pressure
count: 00002	high: 0.6134	 avg: 0.4117	   word: Einstein gravity
count: 00002	high: 0.5368	 avg: 0.3743	   word: thermodynamic pressure
count: 00002	high: 0.4346	 avg: 0.3249	   word: criticality
count: 00002	high: 0.5842	 avg: 0.4337	   word: classical thermodynamics
count: 00002	high: 0.9285	 avg: 0.6172	   word: black hole thermodynamics
count: 00002	high: 0.7888	 avg: 0.5537	   word: liquid-gas phase transition
count: 00002	high: 0.3784	 avg: 0.3778	   word: null
count: 00002	high: 0.6908	 avg: 0.6044	   word: Einstein equations
count: 00002	high: 0.7185	 avg: 0.6801	   word: matter fields
count: 00002	high: 0.3297	 avg: 0.3121	   word: pressure
count: 00002	high: 0.3309	 avg: 0.2981	   word: equations
count: 00002	high: 0.3395	 avg: 0.3371	   word: thermodynamics
count: 00002	high: 0.4466	 avg: 0.4176	   word: power law
count: 00002	high: 0.7827	 avg: 0.6890	   word: early Universe
count: 00002	high: 0.9437	 avg: 0.7776	   word: matter stability
count: 00002	high: 0.4528	 avg: 0.3502	   word: values
count: 00002	high: 0.6816	 avg: 0.5826	   word: previous works
count: 00002	high: 0.7972	 avg: 0.6035	   word: Hubble parameter
count: 00002	high: 0.3430	 avg: 0.3344	   word: framework
count: 00002	high: 0.4476	 avg: 0.3999	   word: radiation
count: 00002	high: 0.5853	 avg: 0.4618	   word: observational data
count: 00002	high: 0.4452	 avg: 0.3950	   word: geometry
count: 00002	high: 0.4567	 avg: 0.4095	   word: equivalence
count: 00002	high: 0.7885	 avg: 0.7496	   word: Loop Quantum Gravity
count: 00002	high: 0.4506	 avg: 0.4151	   word: technique
count: 00002	high: 0.4281	 avg: 0.3969	   word: pair
count: 00002	high: 0.4609	 avg: 0.4458	   word: plane
count: 00002	high: 0.4336	 avg: 0.3712	   word: bounds
count: 00002	high: 0.5560	 avg: 0.5087	   word: integration constants
count: 00002	high: 0.6246	 avg: 0.5519	   word: Einstein tensor
count: 00002	high: 0.9284	 avg: 0.7607	   word: black hole solutions
count: 00002	high: 0.4888	 avg: 0.4779	   word: torsion
count: 00002	high: 0.4584	 avg: 0.4061	   word: result
count: 00002	high: 0.5770	 avg: 0.4796	   word: experimental data
count: 00002	high: 0.4397	 avg: 0.3990	   word: way
count: 00002	high: 0.7535	 avg: 0.7120	   word: spatial curvature
count: 00002	high: 0.4705	 avg: 0.4038	   word: effect
count: 00002	high: 0.9953	 avg: 0.9114	   word: Schwarzschild black hole
count: 00001	high: 0.2607	 avg: 0.2607	   word: charge
count: 00001	high: 0.2617	 avg: 0.2617	   word: transformation
count: 00001	high: 0.2648	 avg: 0.2648	   word: frame
count: 00001	high: 0.3135	 avg: 0.3135	   word: Schwarzschild
count: 00001	high: 0.3585	 avg: 0.3585	   word: momentum
count: 00001	high: 0.4971	 avg: 0.4971	   word: solutions increase
count: 00001	high: 0.5006	 avg: 0.5006	   word: quasi-local energy
count: 00001	high: 0.5048	 avg: 0.5048	   word: structural functions
count: 00001	high: 0.5067	 avg: 0.5067	   word: algebraic structure
count: 00001	high: 0.5155	 avg: 0.5155	   word: exhibited solutions
count: 00001	high: 0.5239	 avg: 0.5239	   word: series expansions
count: 00001	high: 0.5249	 avg: 0.5249	   word: general SL
count: 00001	high: 0.5274	 avg: 0.5274	   word: general solution
count: 00001	high: 0.5431	 avg: 0.5431	   word: Cotton tensors
count: 00001	high: 0.5817	 avg: 0.5817	   word: Chan Mann
count: 00001	high: 0.7679	 avg: 0.7679	   word: dS AdS behavior
count: 00001	high: 0.7792	 avg: 0.7792	   word: stationary dilaton solutions
count: 00001	high: 0.9487	 avg: 0.9487	   word: electric Maxwell field
count: 00001	high: 0.9925	 avg: 0.9925	   word: Einstein Maxwell dilaton
count: 00001	high: 0.2661	 avg: 0.2661	   word: topic
count: 00001	high: 0.2767	 avg: 0.2767	   word: mistakes
count: 00001	high: 0.3477	 avg: 0.3477	   word: positiveness
count: 00001	high: 0.7827	 avg: 0.7827	   word: external static solution
count: 00001	high: 0.8441	 avg: 0.8441	   word: circularly symmetric star
count: 00001	high: 0.9228	 avg: 0.9228	   word: constant density distribution
count: 00001	high: 0.9937	 avg: 0.9937	   word: hydrodynamic equilibrium Buchdahl
count: 00001	high: 0.3582	 avg: 0.3582	   word: purpose
count: 00001	high: 0.3683	 avg: 0.3683	   word: stability
count: 00001	high: 0.3751	 avg: 0.3751	   word: masses
count: 00001	high: 0.4003	 avg: 0.4003	   word: radii
count: 00001	high: 0.4153	 avg: 0.4153	   word: Barua
count: 00001	high: 0.4155	 avg: 0.4155	   word: Krori
count: 00001	high: 0.4762	 avg: 0.4762	   word: SAX
count: 00001	high: 0.5367	 avg: 0.5367	   word: X-1
count: 00001	high: 0.6054	 avg: 0.6054	   word: analytical solution
count: 00001	high: 0.6167	 avg: 0.6167	   word: regularity conditions
count: 00001	high: 0.6196	 avg: 0.6196	   word: surface redshift
count: 00001	high: 0.6260	 avg: 0.6260	   word: radial coordinates
count: 00001	high: 0.6296	 avg: 0.6296	   word: unknown constants
count: 00001	high: 0.6772	 avg: 0.6772	   word: competent candidates
count: 00001	high: 0.6792	 avg: 0.6792	   word: cylindrical symmetry
count: 00001	high: 0.8575	 avg: 0.8575	   word: cylindrically symmetric spacetime
count: 00001	high: 0.8689	 avg: 0.8689	   word: anisotropic compact stars
count: 00001	high: 0.9908	 avg: 0.9908	   word: compact stars
count: 00001	high: 0.2438	 avg: 0.2438	   word: critical behavior
count: 00001	high: 0.2441	 avg: 0.2441	   word: similar behavior
count: 00001	high: 0.2547	 avg: 0.2547	   word: i.e charged-AdS
count: 00001	high: 0.2914	 avg: 0.2914	   word: thermodynamic pressures
count: 00001	high: 0.2969	 avg: 0.2969	   word: multiple RPT
count: 00001	high: 0.3021	 avg: 0.3021	   word: BI parameter
count: 00001	high: 0.4057	 avg: 0.4057	   word: Van der Waals
count: 00001	high: 0.4120	 avg: 0.4120	   word: specific values
count: 00001	high: 0.4192	 avg: 0.4192	   word: Lovelock gravity
count: 00001	high: 0.4400	 avg: 0.4400	   word: GB-BI-AdS black holes
count: 00001	high: 0.5039	 avg: 0.5039	   word: Infeld-AdS black holes
count: 00001	high: 0.5182	 avg: 0.5182	   word: point phase transitions
count: 00001	high: 0.5304	 avg: 0.5304	   word: extended phase space
count: 00001	high: 0.5437	 avg: 0.5437	   word: grand canonical ensembles
count: 00001	high: 0.6213	 avg: 0.6213	   word: critical behaviors
count: 00001	high: 0.6329	 avg: 0.6329	   word: reentrant phase transitions
count: 00001	high: 0.6543	 avg: 0.6543	   word: phase transitions
count: 00001	high: 0.7633	 avg: 0.7633	   word: reentrant phase transition
count: 00001	high: 0.9710	 avg: 0.9710	   word: grand canonical ensemble
count: 00001	high: 0.3290	 avg: 0.3290	   word: sake
count: 00001	high: 0.3365	 avg: 0.3365	   word: generality
count: 00001	high: 0.3434	 avg: 0.3434	   word: baryons
count: 00001	high: 0.3959	 avg: 0.3959	   word: BECs
count: 00001	high: 0.4260	 avg: 0.4260	   word: arbitrary sign
count: 00001	high: 0.4376	 avg: 0.4376	   word: attractive self-interaction
count: 00001	high: 0.4422	 avg: 0.4422	   word: cyclic universes
count: 00001	high: 0.4441	 avg: 0.4441	   word: Sitter phase
count: 00001	high: 0.4503	 avg: 0.4503	   word: cold gas
count: 00001	high: 0.4747	 avg: 0.4747	   word: infinite density
count: 00001	high: 0.5303	 avg: 0.5303	   word: dust matter
count: 00001	high: 0.5322	 avg: 0.5322	   word: scale factor increases
count: 00001	high: 0.5789	 avg: 0.5789	   word: simple analytical solution
count: 00001	high: 0.5840	 avg: 0.5840	   word: relativistic self-gravitating Bose-Einstein
count: 00001	high: 0.6121	 avg: 0.6121	   word: certain cosmological models
count: 00001	high: 0.7052	 avg: 0.7052	   word: scale factor
count: 00001	high: 0.7166	 avg: 0.7166	   word: stiff matter era
count: 00001	high: 0.7206	 avg: 0.7206	   word: primordial universe
count: 00001	high: 0.9783	 avg: 0.9783	   word: stiff matter
count: 00001	high: 0.3370	 avg: 0.3370	   word: fact
count: 00001	high: 0.3568	 avg: 0.3568	   word: radius
count: 00001	high: 0.3981	 avg: 0.3981	   word: Pathria
count: 00001	high: 0.5020	 avg: 0.5020	   word: FRW interior
count: 00001	high: 0.5106	 avg: 0.5106	   word: surface pressure
count: 00001	high: 0.5394	 avg: 0.5394	   word: maximum expansion
count: 00001	high: 0.5662	 avg: 0.5662	   word: different spacetimes
count: 00001	high: 0.5714	 avg: 0.5714	   word: certain values
count: 00001	high: 0.5966	 avg: 0.5966	   word: vacuum Schwarzschild
count: 00001	high: 0.8324	 avg: 0.8324	   word: pressureless closed Friedmann-Robertson-Walker
count: 00001	high: 0.9561	 avg: 0.9561	   word: null shell formalism
count: 00001	high: 0.9865	 avg: 0.9865	   word: null hypersurface
count: 00001	high: 0.2483	 avg: 0.2483	   word: Chavanis
count: 00001	high: 0.2491	 avg: 0.2491	   word: Tooper
count: 00001	high: 0.2515	 avg: 0.2515	   word: account
count: 00001	high: 0.2551	 avg: 0.2551	   word: limitations
count: 00001	high: 0.3122	 avg: 0.3122	   word: relation
count: 00001	high: 0.4631	 avg: 0.4631	   word: universe experiences
count: 00001	high: 0.4773	 avg: 0.4773	   word: simple generalization
count: 00001	high: 0.4779	 avg: 0.4779	   word: fully-relativistic model
count: 00001	high: 0.4914	 avg: 0.4914	   word: pressure effects
count: 00001	high: 0.5131	 avg: 0.5131	   word: cosmological singularity
count: 00001	high: 0.5177	 avg: 0.5177	   word: baryon stars
count: 00001	high: 0.5200	 avg: 0.5200	   word: high densities
count: 00001	high: 0.5259	 avg: 0.5259	   word: neutron stars
count: 00001	high: 0.5374	 avg: 0.5374	   word: cold baryons
count: 00001	high: 0.5601	 avg: 0.5601	   word: stiff equation
count: 00001	high: 0.5623	 avg: 0.5623	   word: superfluid properties
count: 00001	high: 0.5774	 avg: 0.5774	   word: Bose-Einstein condensate
count: 00001	high: 0.7101	 avg: 0.7101	   word: dark energy phase
count: 00001	high: 0.7439	 avg: 0.7439	   word: rest-mass density
count: 00001	high: 0.7646	 avg: 0.7646	   word: vector meson field
count: 00001	high: 0.7833	 avg: 0.7833	   word: dust matter phase
count: 00001	high: 0.7861	 avg: 0.7861	   word: general relativistic BEC
count: 00001	high: 0.8132	 avg: 0.8132	   word: compact astrophysical objects
count: 00001	high: 0.8225	 avg: 0.8225	   word: classical BECs
count: 00001	high: 0.8259	 avg: 0.8259	   word: stiff matter phase
count: 00001	high: 0.8657	 avg: 0.8657	   word: self-gravitating BECs
count: 00001	high: 0.9463	 avg: 0.9463	   word: partially-relativistic model
count: 00001	high: 0.9917	 avg: 0.9917	   word: maximum mass
count: 00001	high: 0.4521	 avg: 0.4521	   word: application
count: 00001	high: 0.4528	 avg: 0.4528	   word: tre-Tolman
