Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type
219,"A Einstein","Sidelights on relativity",1922,"","books.google.com","","http://scholar.google.com/scholar?cites=12831857969590545520&as_sdt=5,33&sciodt=0,33&hl=en&num=20",11,"2014-11-21","BOOK"
369,"A Einstein","The field equations of gravitation",1913,"… of the Generalised Theory of Relativity 22","upload.wikimedia.org","","http://scholar.google.com/scholar?cites=11246957885394826280&as_sdt=5,33&sciodt=0,33&hl=en&num=20",12,"2014-11-21","PDF"
1367,"A Einstein, C Seelig, S Bargmann, I Unna, B Wolff","Ideas and opinions",1954,"","ns1.ias.ac.in","","http://scholar.google.com/scholar?cites=15860664256583570507&as_sdt=5,33&sciodt=0,33&hl=en&num=20",13,"2014-11-21","BOOK"
3330,"A Einstein","Investigations on the Theory of the Brownian Movement",1956,"","books.google.com","","http://scholar.google.com/scholar?cites=13746912682491308133&as_sdt=5,33&sciodt=0,33&hl=en&num=20",14,"2014-11-21","BOOK"
5,"AE Relativity","The Special and the General Theory",1961,"","Threee Rivers Press New York","","http://scholar.google.com/scholar?cites=14441631423379011977&as_sdt=5,33&sciodt=0,33&hl=en&num=20",15,"2014-11-21","CITATION"
78,"A Einstein","Relativity and the Problem of Space",1954,"Relativity, London: Methuen","","","http://scholar.google.com/scholar?cites=7617267150602630713&as_sdt=5,33&sciodt=0,33&hl=en&num=20",16,"2014-11-21","CITATION"
753,"A Einstein","equations of motionﬁ one therefore could not doubt that the laws of nature are",1907,"Jahrbuch der Radioaktivitﬁt and Elektronik","books.benjibear.com","","http://scholar.google.com/scholar?cites=8194474078555405789&as_sdt=5,33&sciodt=0,33&hl=en&num=20",17,"2014-11-21","PDF"
58,"A Einstein","How I created the theory of relativity",1982,"Physics Today","physicslink.ucsd.edu","","http://scholar.google.com/scholar?cites=4468842217203051157&as_sdt=5,33&sciodt=0,33&hl=en&num=20",18,"2014-11-21","PDF"
69,"A Einstein","On the relativity principle and the conclusions drawn from it",1907,"Jahrbuch der Radioaktivität und Elektronik","","","http://scholar.google.com/scholar?cites=8088526843763630697&as_sdt=5,33&sciodt=0,33&hl=en&num=20",19,"2014-11-21","CITATION"
59,"A Einstein","On the Special Theory of Relativity",1905,"Ann Phys","phys.lsu.edu","","http://scholar.google.com/scholar?cites=18239737988568830955&as_sdt=5,33&sciodt=0,33&hl=en&num=20",20,"2014-11-21","PDF"
59,"A Einstein","Ether and the Theory of Relativity",2007,"The Genesis of General Relativity","Springer","http://link.springer.com/chapter/10.1007/978-1-4020-4000-9_34","http://scholar.google.com/scholar?cites=13503545612184185344&as_sdt=5,33&sciodt=0,33&hl=en&num=20",21,"2014-11-21",""
541,"A Einstein","The world as I see it",2007,"","books.google.com","","http://scholar.google.com/scholar?cites=17183588468959488864&as_sdt=5,33&sciodt=0,33&hl=en&num=20",22,"2014-11-21","BOOK"
460,"A Einstein","The collected papers of Albert Einstein",1989,"","books.google.com","","http://scholar.google.com/scholar?cites=6706908336481689418&as_sdt=5,33&sciodt=0,33&hl=en&num=20",23,"2014-11-21","BOOK"
208,"A Einstein","Erklarung der Perihelionbewegung der Merkur aus der allgemeinen Relativitatstheorie",1915,"Sitzungsber. preuss. Akad. Wiss., vol. 47, No. 2, pp. …","adsabs.harvard.edu","http://adsabs.harvard.edu/abs/1915SPAW...47..831E","http://scholar.google.com/scholar?cites=18441928015186612566&as_sdt=5,33&sciodt=0,33&hl=en&num=20",24,"2014-11-21",""
42,"A Einstein, N Rosen","Two-body problem in general relativity theory",1936,"Physical Review","APS","http://link.aps.org/doi/10.1103/PhysRev.49.404.2","http://scholar.google.com/scholar?cites=11357327929067446173&as_sdt=5,33&sciodt=0,33&hl=en&num=20",25,"2014-11-21",""
46,"A Einstein, L Infeld","The Evolution of Physics: The Growths of Ideas from Early Concepts to Relativity and Quanta",1947,"","Cambridge University Press","","http://scholar.google.com/scholar?cites=6817812368933498855&as_sdt=5,33&sciodt=0,33&hl=en&num=20",26,"2014-11-21","CITATION"
37,"A Einstein","A brief outline of the development of the theory of relativity",1921,"Nature","nature.com","http://www.nature.com/physics/looking-back/einstein/","http://scholar.google.com/scholar?cites=12875216717199061698&as_sdt=5,33&sciodt=0,33&hl=en&num=20",27,"2014-11-21",""
33,"A Einstein","Source text 1920: Ether and the Theory of Relativity",2007,"The Genesis of General Relativity","adsabs.harvard.edu","http://adsabs.harvard.edu/abs/2007ggr..conf..613E","http://scholar.google.com/scholar?cites=9320740518048572581&as_sdt=5,33&sciodt=0,33&hl=en&num=20",28,"2014-11-21",""
209,"A Einstein","Geometry and experience",1921,"… of the Generalised Theory of Relativity 22","upload.wikimedia.org","","http://scholar.google.com/scholar?cites=7512954101354072652&as_sdt=5,33&sciodt=0,33&hl=en&num=20",29,"2014-11-21","PDF"
35,"HA Lorentz, A Einstein, H Minkowski, H Weyl…","The Principle of Relativity, a Collection of Original Memoirs on the Special and General Theory of Relativity, by HA Lorentz, A. Einstein, H. Minkowski and …",1923,"","Dover publications","","http://scholar.google.com/scholar?cites=14640887079310006731&as_sdt=5,33&sciodt=0,33&hl=en&num=20",30,"2014-11-21","CITATION"
410,"A Einstein, N Rosen","On gravitational waves",1937,"Journal of the Franklin Institute","Elsevier","http://www.sciencedirect.com/science/article/pii/S0016003237905830","http://scholar.google.com/scholar?cites=16415084652395903416&as_sdt=5,33&sciodt=0,33&hl=en&num=20",31,"2014-11-21",""
182,"A Einstein","Does the inertia of a body depend upon its energy-content?",1905,"Annalen der Physik","astro.puc.cl","","http://scholar.google.com/scholar?cites=12473631678076435123&as_sdt=5,33&sciodt=0,33&hl=en&num=20",32,"2014-11-21","PDF"
28,"A Einstein, HA Lorentz, H Weyl, H Minowsky","The Princile of Relativity (A collection of original memoirs on the special and general theory of relativity)",1952,"","sidalc.net","","http://scholar.google.com/scholar?cites=11718607017106422700&as_sdt=5,33&sciodt=0,33&hl=en&num=20",33,"2014-11-21","CITATION"
30,"A Einstein, RW LAWSON","Relativity... Translated by Robert W. Lawson",1947,"","Hartsdale House","","http://scholar.google.com/scholar?cites=12540100453461427887&as_sdt=5,33&sciodt=0,33&hl=en&num=20",34,"2014-11-21","CITATION"
26,"A Einstein","Fundamental ideas and problems of the theory of relativity",1923,"Les Prix Nobel 1922","globaluno.com","","http://scholar.google.com/scholar?cites=7623326492147812971&as_sdt=5,33&sciodt=0,33&hl=en&num=20",35,"2014-11-21","PDF"
29,"A Einstein","Relativity: The Special and the General Theory, trans",1920,"Robert W. Lawson (New York: Crown, 1961)","","","http://scholar.google.com/scholar?cites=16379372005431027070&as_sdt=5,33&sciodt=0,33&hl=en&num=20",36,"2014-11-21","CITATION"
26,"A Einstein, HA Lorentz, H Weyl, H Minkowski","The principle of relativity",2008,"","kerrykkuehn.com","","http://scholar.google.com/scholar?cites=15986917800028662144&as_sdt=5,33&sciodt=0,33&hl=en&num=20",37,"2014-11-21","BOOK"
21,"A Einstein, MJ Klein","Einstein's 1912 manuscript on the special theory of relativity",2003,"","George Braziller","","http://scholar.google.com/scholar?cites=12620987447318407363&as_sdt=5,33&sciodt=0,33&hl=en&num=20",38,"2014-11-21","CITATION"
47,"A Einstein","Time, space, and gravitation",1919,"… of the Generalised Theory of Relativity 22","upload.wikimedia.org","","http://scholar.google.com/scholar?cites=15721850436825622411&as_sdt=5,33&sciodt=0,33&hl=en&num=20",39,"2014-11-21","PDF"
23,"H Nordenson, A Einstein","Relativity, Time and Reality",1969,"","Br Soc Philosophy Sci","","http://scholar.google.com/scholar?cites=8028182380382038088&as_sdt=5,33&sciodt=0,33&hl=en&num=20",40,"2014-11-21","BOOK"
23,"A Einstein","TheMeaning of Relativity",1953,"","Princeton","","http://scholar.google.com/scholar?cites=10281485881655988321&as_sdt=5,33&sciodt=0,33&hl=en&num=20",41,"2014-11-21","CITATION"
151,"A Einstein","Considerations concerning the fundaments of theoretical physics",1943,"","promo.aaas.org","","http://scholar.google.com/scholar?cites=14840488433339941725&as_sdt=5,33&sciodt=0,33&hl=en&num=20",42,"2014-11-21","BOOK"
331,"A Einstein, HA Lorentz, H Minkowski…","On the electrodynamics of moving bodies",1952,"… principle of relativity","mercury.pr.erau.edu","","http://scholar.google.com/scholar?cites=16556612620019609409&as_sdt=5,33&sciodt=0,33&hl=en&num=20",43,"2014-11-21","PDF"
22,"H Weyl, A Einstein, HA Lorentz, H Minkowski","The principle of relativity",1952,"","Dover","","http://scholar.google.com/scholar?cites=7115476929204263250&as_sdt=5,33&sciodt=0,33&hl=en&num=20",44,"2014-11-21","CITATION"
38,"A Einstein","Essays in physics",1950,"","Philosophical Library","","http://scholar.google.com/scholar?cites=7783967740531761964&as_sdt=5,33&sciodt=0,33&hl=en&num=20",45,"2014-11-21","CITATION"
288,"A Einstein","On a stationary system with spherical symmetry consisting of many gravitating masses",1939,"Annals of Mathematics","JSTOR","http://www.jstor.org/stable/1968902","http://scholar.google.com/scholar?cites=12800556622318901488&as_sdt=5,33&sciodt=0,33&hl=en&num=20",46,"2014-11-21",""
21,"A Einstein","The Theory of Relativity (and Other Essays)",1950,"","books.google.com","","http://scholar.google.com/scholar?cites=9659634989958737282&as_sdt=5,33&sciodt=0,33&hl=en&num=20",47,"2014-11-21","BOOK"
31,"A Einstein","Space-time",1929,"Encyclopedia Britannica","awesomeness.ca","http://www.awesomeness.ca/engsci/bin/1st%20Year%20Winter/HPS211/HPS211%20-%20Lecture%2018.pdf","http://scholar.google.com/scholar?cites=9437761746119908974&as_sdt=5,33&sciodt=0,33&hl=en&num=20",48,"2014-11-21",""
20,"A Einstein","Explanation of the perihelion motion of Mercury from the general theory of relativity",1915,"Sitzungsber. Preuss. Akad. Wiss. Berlin (Math. Phys.)","","","http://scholar.google.com/scholar?cites=17480388808982845757&as_sdt=5,33&sciodt=0,33&hl=en&num=20",49,"2014-11-21","CITATION"
17,"A Einstein","The Meaning of Relativity.(Revised.).",1951,"","Methuen & Company","","http://scholar.google.com/scholar?cites=12658255766439302316&as_sdt=5,33&sciodt=0,33&hl=en&num=20",50,"2014-11-21","CITATION"
65,"A Einstein","Elementary derivation of the equivalence of mass and energy",1935,"Bulletin of the American mathematical society","ams.org","","http://scholar.google.com/scholar?cites=15280650889404225453&as_sdt=5,33&sciodt=0,33&hl=en&num=20",51,"2014-11-21","PDF"
35,"A Einstein","On the electrodynamics of moving bodies",1923,"","philpapers.org","http://philpapers.org/rec/einote","http://scholar.google.com/scholar?cites=16731290967589003404&as_sdt=5,33&sciodt=0,33&hl=en&num=20",52,"2014-11-21",""
119,"A Einstein","On the Influence of Gravitation on the Propagation of Light",1911,"Annalen der Physik","relativitycalculator.com","","http://scholar.google.com/scholar?cites=8297260989349676813&as_sdt=5,33&sciodt=0,33&hl=en&num=20",53,"2014-11-21","PDF"
12,"A Einstein, M Grossmann","Outline of a Generalized Theory of Relativity and of a Theory of Gravitation I. Physical Part",1913,"A. Beck (Ed. & Trans.) The Collected Papers of …","pitt.edu","","http://scholar.google.com/scholar?cites=2807832309195461506&as_sdt=5,33&sciodt=0,33&hl=en&num=20",54,"2014-11-21","PDF"
359,"A Einstein, G Straus","Gravitation. &ie.. cs Surrounc ing t.'xe:: ncivic ua.. Stars",1945,"","dafix.uark.edu","","http://scholar.google.com/scholar?cites=1352877977623266353&as_sdt=5,33&sciodt=0,33&hl=en&num=20",55,"2014-11-21","PDF"
12,"A Einstein","The principle of relativity and its consequences in modern physics",1993,"The collected papers","","","http://scholar.google.com/scholar?cites=4471360497011706338&as_sdt=5,33&sciodt=0,33&hl=en&num=20",56,"2014-11-21","CITATION"
12,"A Einstein","The Foundations of General Relativity Theory",1973,"CW Kilmister, General Theory of Relativity","","","http://scholar.google.com/scholar?cites=3505362721825913644&as_sdt=5,33&sciodt=0,33&hl=en&num=20",57,"2014-11-21","CITATION"
11,"A Einstein","others, The Principle of Relativity",1923,"","New York, Dover Publications, Inc","","http://scholar.google.com/scholar?cites=3549997612193270884&as_sdt=5,33&sciodt=0,33&hl=en&num=20",58,"2014-11-21","CITATION"
12,"A Einstein","On the special and general theory of relativity",1997,"The collected papers of","","","http://scholar.google.com/scholar?cites=643648075744217462&as_sdt=5,33&sciodt=0,33&hl=en&num=20",59,"2014-11-21","CITATION"
10,"A Einstein","Relativity Principle and its Consequences in Modern Physics. Collection of Scientific Works, V. 1",1965,"","Nauka, Moscow","","http://scholar.google.com/scholar?cites=4016101457624407946&as_sdt=5,33&sciodt=0,33&hl=en&num=20",60,"2014-11-21","CITATION"
10,"A Einstein","The Meaning of Relativity, Princeton (1953)",1955,"Mathematical Reviews (MathSciNet): MR53649 …","","","http://scholar.google.com/scholar?cites=1007166774668521145&as_sdt=5,33&sciodt=0,33&hl=en&num=20",61,"2014-11-21","CITATION"
11,"A Einstein, M Grossmann","Covariance properties of the field equations of the theory of gravitation based on the generalized theory of relativity",1914,"Zeitschrift für Mathematik und Physik","","","http://scholar.google.com/scholar?cites=9829074147881075119&as_sdt=5,33&sciodt=0,33&hl=en&num=20",62,"2014-11-21","CITATION"
85,"A Einstein","The photoelectric effect",1905,"Ann. Phys","inside.mines.edu","http://inside.mines.edu/~fsarazin/phgn310/PDFs/EarlyQMLect3.pdf","http://scholar.google.com/scholar?cites=407865575002038019&as_sdt=5,33&sciodt=0,33&hl=en&num=20",63,"2014-11-21",""
9,"A Einstein","Ether and Relativity",1920,"Sidelights on Relativity","","","http://scholar.google.com/scholar?cites=10029647740511496419&as_sdt=5,33&sciodt=0,33&hl=en&num=20",64,"2014-11-21","CITATION"
11,"A Einstein","Hamilton's principle and the general theory of relativity",1952,"The Principle of Relativity. Dover Books on Physics. …","adsabs.harvard.edu","","http://scholar.google.com/scholar?cites=4192725755139072506&as_sdt=5,33&sciodt=0,33&hl=en&num=20",65,"2014-11-21","CITATION"
9,"A Einstein","The meaning of general relativity",1956,"Princeton UP, Princeton","","","http://scholar.google.com/scholar?cites=14659151911815688523&as_sdt=5,33&sciodt=0,33&hl=en&num=20",66,"2014-11-21","CITATION"
9,"A Einstein","1,955. The Meaning of Relativity",0,"Princeton Univ. Press","","","http://scholar.google.com/scholar?cites=6151990222278697540&as_sdt=5,33&sciodt=0,33&hl=en&num=20",67,"2014-11-21","CITATION"
9,"A Einstein","The Meaning of Relativity, Including The Generalized Theory of Gravitation",1950,"","Princeton University Press","","http://scholar.google.com/scholar?cites=1512681950935313668&as_sdt=5,33&sciodt=0,33&hl=en&num=20",68,"2014-11-21","CITATION"
11,"A Einstein, H Minkowski","The principle of relativity: original papers",1920,"","The University of Calcutta","","http://scholar.google.com/scholar?cites=16557240275530101460&as_sdt=5,33&sciodt=0,33&hl=en&num=20",69,"2014-11-21","CITATION"
10,"A Einstein","The formal foundation of the general theory of relativity",1914,"Sitzungsber. Preuss. Akad. Wiss. Berlin (Math. Phys.)","","","http://scholar.google.com/scholar?cites=4893796489388081649&as_sdt=5,33&sciodt=0,33&hl=en&num=20",70,"2014-11-21","CITATION"
9,"A Einstein","Relativity: the special and the general theory. (trans: Robert W. Lawson in 1920.)",1917,"London: Methuen & Co. This popular account was first …","","","http://scholar.google.com/scholar?cites=15059771203816805362&as_sdt=5,33&sciodt=0,33&hl=en&num=20",71,"2014-11-21","CITATION"
10,"E Albert","Meaning of Relativity",1960,"","Oxford Book Company","","http://scholar.google.com/scholar?cites=152509010843133147&as_sdt=5,33&sciodt=0,33&hl=en&num=20",72,"2014-11-21","CITATION"
8,"A Einstein","The Meaning of Relativity , Methuen",1956,"New York","","","http://scholar.google.com/scholar?cites=1246212522301635004&as_sdt=5,33&sciodt=0,33&hl=en&num=20",73,"2014-11-21","CITATION"
8,"A Einstein","The Meaning of Relativity, Menthuen and Co",1951,"London, UK fifth edition, Appendix II","","","http://scholar.google.com/scholar?cites=7931296452230199969&as_sdt=5,33&sciodt=0,33&hl=en&num=20",74,"2014-11-21","CITATION"
8,"A Einstein","Einstein's manuscript on the special theory of relativity",1995,"","The collected papers of Albert …","","http://scholar.google.com/scholar?cites=4216282700984741060&as_sdt=5,33&sciodt=0,33&hl=en&num=20",75,"2014-11-21","CITATION"
9,"A Einstein","Sidelights on Relativity (Geometry and Experience)",1923,"P. Dutton., Co","","","http://scholar.google.com/scholar?cites=11814775272940981445&as_sdt=5,33&sciodt=0,33&hl=en&num=20",76,"2014-11-21","CITATION"
8,"A Einstein","The Meaning of relativity: including the generalization of gravitation theory, by Albert Einstein,.",1953,"","NJ, Princeton University Press","","http://scholar.google.com/scholar?cites=9276379706452800828&as_sdt=5,33&sciodt=0,33&hl=en&num=20",77,"2014-11-21","CITATION"
7,"A Einstein","Relativity and the Ether",1934,"Essays in Science","","","http://scholar.google.com/scholar?cites=16046599058027029142&as_sdt=5,33&sciodt=0,33&hl=en&num=20",78,"2014-11-21","CITATION"
7,"A Einstein, HA Lorentz, H Minkowski, H Weyl","The Principle of Relativity, collected papers with notes by A. Sommerfield",1952,"","Dover, New York","","http://scholar.google.com/scholar?cites=16914925311052787178&as_sdt=5,33&sciodt=0,33&hl=en&num=20",79,"2014-11-21","CITATION"
7,"RA d'Inverno, A Einstein","Introduction Einstein's Relativity",1992,"","Clarendon Press","","http://scholar.google.com/scholar?cites=10709205920293270071&as_sdt=5,33&sciodt=0,33&hl=en&num=20",80,"2014-11-21","CITATION"
8,"A Einstein, HA Lorentz, H Minkowski, H Weyl","The principle of relativity, with notes by Arnold Sommerfeld, transl. by W. Perrett and GB Jeffery, Methuen, London, 1923; rééd",1952,"","Dover, New York","","http://scholar.google.com/scholar?cites=15078470799392853852&as_sdt=5,33&sciodt=0,33&hl=en&num=20",81,"2014-11-21","CITATION"
42,"A Einstein","Einstein versus the physical review",2005,"","geology.cwu.edu","","http://scholar.google.com/scholar?cites=16253510460082105236&as_sdt=5,33&sciodt=0,33&hl=en&num=20",82,"2014-11-21","PDF"
6,"A Einstein","Relativistic Theory of Nonsymmetric Field. The Meaning of Relativity",1955,"Princeton, Append. II","","","http://scholar.google.com/scholar?cites=15308825982686123713&as_sdt=5,33&sciodt=0,33&hl=en&num=20",83,"2014-11-21","CITATION"
6,"A Einstein","The Theory of Relativity Authorised translation by Lawson R",1920,"W, with diagrams by the author.(London: Methuen)","","","http://scholar.google.com/scholar?cites=1875598773164188896&as_sdt=5,33&sciodt=0,33&hl=en&num=20",84,"2014-11-21","CITATION"
8,"A Einstein","Dialogue about objections to the theory of relativity",1918,"The Collected Papers of Albert Einstein","","","http://scholar.google.com/scholar?cites=338692444247019669&as_sdt=5,33&sciodt=0,33&hl=en&num=20",85,"2014-11-21","CITATION"
6,"A Einstein","On the possibility of a new test of the relativity principle",1907,"The collected papers of Albert Einstein","","","http://scholar.google.com/scholar?cites=7842926722746335015&as_sdt=5,33&sciodt=0,33&hl=en&num=20",86,"2014-11-21","CITATION"
6,"A Einstein","The Meaning of Relativity (Princeton UP, Princeton, NJ, 1955)",1970,"Appendix II","","","http://scholar.google.com/scholar?cites=12829195273099404742&as_sdt=5,33&sciodt=0,33&hl=en&num=20",87,"2014-11-21","CITATION"
6,"A Einstein, M Grossmann","Outline of a generalized theory of relativity and of a theory of gravitation",1996,"The Collected Papers of Albert Einstein","","","http://scholar.google.com/scholar?cites=833805836330041262&as_sdt=5,33&sciodt=0,33&hl=en&num=20",88,"2014-11-21","CITATION"
6,"A Einstein","What is the Theory of Relativity?(1919)",1982,"Ideas and Opinions","","","http://scholar.google.com/scholar?cites=3816552583909068461&as_sdt=5,33&sciodt=0,33&hl=en&num=20",89,"2014-11-21","CITATION"
6,"A Einstein","Cosmological Considerations on the General Theory of Relativity",1986,"Cosmological Constants","adsabs.harvard.edu","","http://scholar.google.com/scholar?cites=5252178191131677212&as_sdt=5,33&sciodt=0,33&hl=en&num=20",90,"2014-11-21","CITATION"
50,"A Einstein","Do gravitational fields play an essential part in the structure of the elementary particles of matter?",1952,"The Principle of Relativity. Dover Books on Physics. …","adsabs.harvard.edu","","http://scholar.google.com/scholar?cites=8304048758833039861&as_sdt=5,33&sciodt=0,33&hl=en&num=20",91,"2014-11-21","CITATION"
59,"A Einstein","The Bianchi identities in the generalized theory of gravitation",1950,"Can. J. Math","books.google.com","","http://scholar.google.com/scholar?cites=11376981076454625333&as_sdt=5,33&sciodt=0,33&hl=en&num=20",92,"2014-11-21","HTML"
441,"A Einstein","Physics and reality",1936,"Journal of the Franklin Institute","Elsevier","http://www.sciencedirect.com/science/article/pii/S0016003236910475","http://scholar.google.com/scholar?cites=6799563874330167610&as_sdt=5,33&sciodt=0,33&hl=en&num=20",93,"2014-11-21",""
5,"A Einstein","On the relativity problem",2007,"The Genesis of General Relativity","Springer","http://link.springer.com/chapter/10.1007/978-1-4020-4000-9_33","http://scholar.google.com/scholar?cites=18420978097113163741&as_sdt=5,33&sciodt=0,33&hl=en&num=20",94,"2014-11-21",""
35,"A Einstein","Relativistic theory of the non-symmetric field",1955,"Append. II in” The meaning of relativity”, 5thedition, …","","","http://scholar.google.com/scholar?cites=15359522133404766905&as_sdt=5,33&sciodt=0,33&hl=en&num=20",95,"2014-11-21","CITATION"
558,"A Einstein","Lens-like action of a star by the deviation of light in the gravitational field",1936,"Science","personalpages.to.infn.it","","http://scholar.google.com/scholar?cites=892297327537612244&as_sdt=5,33&sciodt=0,33&hl=en&num=20",96,"2014-11-21","PDF"
5,"A Einstein","Sitzungsber. K. Preuss. Akad. Wiss. 142 (1917), The Principle of Relativity",1952,"","Dover, New York","","http://scholar.google.com/scholar?cites=10453310028064909432&as_sdt=5,33&sciodt=0,33&hl=en&num=20",97,"2014-11-21","CITATION"
5,"A Einstein, S Preuss, A Wiss","The Principal of Relativity",1952,"","Dover","","http://scholar.google.com/scholar?cites=12651283397147275689&as_sdt=5,33&sciodt=0,33&hl=en&num=20",98,"2014-11-21","CITATION"
5,"A Einstein","The Meaning of Gravitation Relativity, four edition",1953,"","Prinston","","http://scholar.google.com/scholar?cites=10344891440538901355&as_sdt=5,33&sciodt=0,33&hl=en&num=20",99,"2014-11-21","CITATION"
5,"HA Lorenz, A Einstein, H Minkowski, H Weyl","The principle of relativity",1952,"","Dover Publication, Inc., New York","","http://scholar.google.com/scholar?cites=6026169032694045489&as_sdt=5,33&sciodt=0,33&hl=en&num=20",100,"2014-11-21","CITATION"
5,"A Einstein","Four conferences on the theory of the relativity made to the University of Princeton",1971,"Paris: Gauthier-Villars","","","http://scholar.google.com/scholar?cites=1514940599463833613&as_sdt=5,33&sciodt=0,33&hl=en&num=20",101,"2014-11-21","CITATION"
6,"A Einstein","Fundamental Ideas and Methods of the theory of Relativity, Presented in Their Development",1920,"Doc","","","http://scholar.google.com/scholar?cites=3820638209205096352&as_sdt=5,33&sciodt=0,33&hl=en&num=20",102,"2014-11-21","CITATION"
5,"A Einstein","Supplement to Appendix II [of The Meaning of Relativity].",1953,"","Princeton University Press","","http://scholar.google.com/scholar?cites=6494296124763243266&as_sdt=5,33&sciodt=0,33&hl=en&num=20",103,"2014-11-21","CITATION"
14,"ER Einstein","Hans Albert Einstein: Reminiscences of his life and our life together",1991,"","Iowa Inst of Hydraulic Res","","http://scholar.google.com/scholar?cites=10354411932038388935&as_sdt=5,33&sciodt=0,33&hl=en&num=20",104,"2014-11-21","CITATION"
6,"E Albert","Relativity",1961,"New York: Crown","","","http://scholar.google.com/scholar?cites=17294278395913293346&as_sdt=5,33&sciodt=0,33&hl=en&num=20",105,"2014-11-21","CITATION"
15,"A Einstein, GB Shaw","Einstein on cosmic religion and other opinions and aphorisms",2012,"","books.google.com","","http://scholar.google.com/scholar?cites=16729620445621292013&as_sdt=5,33&sciodt=0,33&hl=en&num=20",106,"2014-11-21","BOOK"
5,"AIMAE Special","Theory of Relativity",1981,"","London: Addison-Wesley Publishing …","","http://scholar.google.com/scholar?cites=16777277347982534723&as_sdt=5,33&sciodt=0,33&hl=en&num=20",107,"2014-11-21","CITATION"
4,"A Einstein, RW Lawson","The relativity of simultaneity",1954,"Relativity, the Special and the General Theory","Methuen","","http://scholar.google.com/scholar?cites=18326430165564732924&as_sdt=5,33&sciodt=0,33&hl=en&num=20",108,"2014-11-21","CITATION"
15,"A Einstein","Isaac Newton",1927,"The Observatory","adsabs.harvard.edu","","http://scholar.google.com/scholar?cites=5466755684572090502&as_sdt=5,33&sciodt=0,33&hl=en&num=20",109,"2014-11-21","HTML"
9,"A Einstein","New possibility for a unified field theory of gravitation and electricity",1928,"Session Report of the Prussian Acad. Sci","alexander-unzicker.com","","http://scholar.google.com/scholar?cites=1338112851420925566&as_sdt=5,33&sciodt=0,33&hl=en&num=20",110,"2014-11-21","PDF"
4,"A Einstein","The theory of relativity restraint and general",1971,"","Gauthier-Villars, Paris","","http://scholar.google.com/scholar?cites=9505971307157727280&as_sdt=5,33&sciodt=0,33&hl=en&num=20",111,"2014-11-21","CITATION"
4,"A Einstein","Relativity: TheSpecialandGeneralTheory",1961,"","Crown Publishers, New York","","http://scholar.google.com/scholar?cites=8481872845481100009&as_sdt=5,33&sciodt=0,33&hl=en&num=20",112,"2014-11-21","CITATION"
